,Band gap [eV],Predicted
138,0.258,0.4629425183960815
139,4.216,3.8802639486884374
140,0.9620000000000001,0.7003668213987531
141,1.2009999999999998,0.7109119841735182
142,2.021,2.054225755620194
143,0.816,0.7729267676124763
144,0.887,1.184130586294367
145,0.516,0.6935791370813643
146,1.129,1.1726670703016802
147,2.728,2.213795540870792
148,1.1320000000000001,1.3674686264964173
149,1.392,1.2900183320034515
150,0.31,1.421911993292781
151,3.763,3.808418696370702
152,0.645,1.0246670881994207
153,0.258,0.7086214149601955
154,1.52,1.327346437441816
155,6.1370000000000005,5.987698221420658
156,2.8510000000000004,2.930719578585192
157,2.332,2.295246335866431
158,0.708,0.8805759366532269
159,0.88,0.80803794176305
160,0.8590000000000001,0.7726394690095779
161,2.063,1.4525274036669802
162,0.8809999999999999,1.4870508684115558
163,0.391,0.36787458331853023
164,1.751,1.543283704622607
165,0.626,0.7967979094048235
166,1.68,1.5474915039592705
167,1.198,1.2194618029957973
168,1.655,1.6171124017357168
169,0.6409999999999999,0.932388302725861
170,0.6609999999999999,0.7214040730210299
171,4.59,4.631409346454634
172,2.023,3.238811015619125
173,0.68,0.720780487111802
174,2.947,2.573103856337485
175,2.565,1.7786983215655827
176,0.354,0.5275114801382321
177,1.851,2.59252490230534
178,1.476,1.3926962159899483
179,0.598,1.656644348657569
180,1.722,1.5232798232797473
181,3.3480000000000003,2.275936766490846
182,0.925,0.4454507272712885
183,1.054,1.9260130834863152
184,0.297,0.5588328674344495
185,1.892,1.775784294224463
186,1.234,1.3541875170081543
187,0.583,1.7611047330514407
188,0.37,0.5312098039685088
189,2.31,2.2023381664347004
190,1.4469999999999998,1.2203927975432496
191,2.474,2.4304972372585723
192,0.54,0.5029859042795258
193,1.599,1.6718056757407131
194,1.879,0.9459965494336318
195,0.39799999999999996,0.9978817443005388
196,2.381,1.8918110041478535
197,0.462,0.5408592112671695
198,1.9,0.9241201384016122
199,0.856,1.2141958309321557
200,6.221,6.1177580288518
201,1.067,1.8026502706850258
202,1.794,1.6126833522537736
203,1.864,2.1184306502766375
204,5.041,4.763582517454122
205,4.586,4.58495777858636
206,0.91,0.9106304635652014
207,1.287,0.9585853404825926
208,1.112,1.523234299127185
209,0.7809999999999999,2.3418177151637716
210,0.821,0.7911475773392342
211,2.864,2.0789781864229706
212,3.315,3.529555367518003
213,4.252,4.583710850174603
214,1.81,1.9110735578114901
215,1.097,1.4414567757538523
216,2.57,2.4006861513127915
217,0.52,0.7211374654779997
218,1.9769999999999999,2.296672935879088
219,1.895,2.084829279010629
220,0.69,0.6342268968872887
221,1.137,1.0175983785511127
222,3.389,2.2478150649330733
223,3.62,3.5931496102837936
224,0.8059999999999999,1.030775535963184
225,3.2760000000000002,3.2157876987625604
226,1.702,1.8706059209748043
227,0.5379999999999999,0.85474773259039
228,0.591,0.7453606868401562
