,Unnamed: 0,Unnamed: 0.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor
2444,2444,2444,MnNaO3,Mn,Na,0,not balanced,not balanced,0.96,1.02,orthorhombic,-1.473,0.259,0.4,12.273,0.729,5.121,5.153,9.301,90,90,90,-3.164,0.7555555556,0.6892053437000001,7.435,5.138999999999999,1.55,0.93,0.6895752081000001
2446,2446,2446,MnNdO3,Mn,Nd,0,not balanced,not balanced,0.96,0.98,orthorhombic,-2.579,0.307,0.8,13.679,0.345,5.754,5.799,8.2,90,90,90,-3.216,0.7259259259,0.7010371951000001,7.435,5.53,1.55,1.14,0.7011647073999999
2450,2450,2450,MnPaO3,Mn,Pa,0,element not in BV,element not in BV,0.96,0.91,rhombohedral,-2.66,0.014,1.2,14.951,1.705,6.063,6.063,6.063,57.8,57.8,57.8,4.966,0.6740740741,0.7227507365000001,7.435,5.89,1.55,1.5,0.7224121228
2454,2454,2454,MnPrO3,Mn,Pr,0,2,4,0.96,0.85,orthorhombic,-2.555,0.315,0.8,13.935,0.333,5.744,5.779,8.396,90,90,90,-3.338,0.6296296296,0.7424621201999999,7.435,5.46,1.55,1.13,0.7416764459999999
2456,2456,2456,MnPuO3,Mn,Pu,0,element not in BV,element not in BV,0.96,0.83,orthorhombic,-2.802,0.086,1.8,13.402,1.643,5.625,5.739,8.303,90,90,90,1.11,0.6148148148,0.7492736993000001,7.435,6.06,1.55,1.28,0.7483282526999999
2463,2463,2463,MnSiO3,Mn,Si,0,2,4,0.96,0.4,orthorhombic,-2.487,0.227,1,8.709,3.851,4.928,5.026,7.033,90,90,90,5.482,0.2962962963,0.9333809512000001,7.435,8.151,1.55,1.9,0.9270955576000001
2465,2465,2465,MnSnO3,Mn,Sn,0,2,4,0.96,0.69,orthorhombic,-1.984,0.042,1,11.639,0.851,5.368,5.544,7.823,90,90,90,2.711,0.5111111111,0.8006944434000001,7.435,7.343999999999999,1.55,1.96,0.7984555041
2466,2466,2466,MnSrO3,Mn,Sr,0,not balanced,not balanced,0.96,1.18,orthorhombic,-2.149,0.26,0.6,14.854,0.604,5.631,5.697,9.261,90,90,90,-5.9,0.8740740740999999,0.645619235,7.435,5.695,1.55,0.95,0.6468108540999999
2472,2472,2472,MnTiO3,Mn,Ti,0,2,4,0.96,0.61,orthorhombic,-2.777,0.06,1,10.264,1.398,5.132,5.357,7.467,90,90,90,3.891,0.4518518519,0.8333758493000001,7.435,6.82,1.55,1.54,0.8302348277
2481,2481,2481,MnZrO3,Mn,Zr,0,2,4,0.96,0.72,orthorhombic,-2.943,0.052,1,11.9,3.057,5.383,5.594,7.903,90,90,90,2.972,0.5333333333,0.7890901761,7.435,6.84,1.55,1.33,0.7871566055
2488,2488,2488,MoBaO3,Mo,Ba,0,4,2,0.65,1.35,rhombohedral,-2.311,0.278,0,18.697,0.788,6.254,6.254,6.254,63.7,63.7,63.7,-14.618,1.0,0.5237828009000001,7.099,5.212000000000001,2.16,0.89,0.5271159642000001
2524,2524,2524,MoPbO3,Mo,Pb,0,not balanced,not balanced,0.73,0.99,rhombohedral,-1.516,0.372,0,16.019,0.503,5.757,5.757,5.757,68.9,68.9,68.9,-,0.7333333333,0.6285393611,7.099,7.416,2.16,2.33,0.6301830309
2539,2539,2539,MoSrO3,Mo,Sr,0,4,2,0.65,1.18,rhombohedral,-2.31,0.326,0,16.33,0.638,6.015,6.015,6.015,62.8,62.8,62.8,-13.854,0.8740740740999999,0.5589776926,7.099,5.695,2.16,0.95,0.5618484114
2558,2558,2558,NaAsO3,Na,As,0,1,5,1.39,0.46,orthorhombic,-1.53,0.23,-,9.703,1.08,5.156,5.159,7.296,90,90,90,1.226,0.3407407407,1.07042684,5.138999999999999,9.81,0.93,2.18,1.0606601718000002
2563,2563,2563,NaBiO3,Na,Bi,0,1,5,1.39,0.76,orthorhombic,-1.407,0.048,-,13.512,0.736,5.705,5.819,8.14,90,90,90,0.27,0.5629629629999999,0.9182334504999999,5.138999999999999,7.289,0.93,2.02,0.9133462590000001
2571,2571,2571,NaDyO3,Na,Dy,0,not balanced,not balanced,1.39,0.99,orthorhombic,-2.314,0.191,0,13.022,2.472,6.017,6.145,7.043,90,90,90,-1.337,0.7333333333,0.8279797352,5.138999999999999,5.94,0.93,1.22,0.8254510123000001
2580,2580,2580,NaHoO3,Na,Ho,0,not balanced,not balanced,1.39,0.9,orthorhombic,-2.324,0.192,0,12.936,2.546,6.024,6.133,7.003,90,90,90,-1.332,0.6666666667,0.8610989245999999,5.138999999999999,6.018,0.93,1.23,0.8577512694
2584,2584,2584,NaLaO3,Na,La,0,not balanced,not balanced,1.39,1.03,orthorhombic,-2.306,0.13,0,14.794,2.633,6.247,6.397,7.404,90,90,90,-1.372,0.762962963,0.8140641094,5.138999999999999,5.58,0.93,1.1,0.8118633414
2585,2585,2585,NaLiO3,Na,Li,0,not balanced,not balanced,1.39,0.76,orthorhombic,-1.182,0.093,-,9.69,1.762,5.68,5.764,5.919,90,90,90,-3.867,0.5629629629999999,0.9182334504999999,5.138999999999999,5.392,0.93,0.98,0.9133462590000001
2591,2591,2591,NaNbO3,Na,Nb,1,1,5,1.39,0.64,orthorhombic,-2.686,0.019,0,11.887,2.204,5.47,5.568,7.806,90,90,90,5.195,0.47407407409999996,0.9736043118000001,5.138999999999999,6.88,0.93,1.6,0.9670725095999999
2594,2594,2594,NaNpO3,Na,Np,0,element not in BV,element not in BV,1.39,0.86,orthorhombic,-2.851,-0.091,0.4,13.777,1.898,5.655,5.937,8.208,90,90,90,2.658,0.637037037,0.8766844254999999,5.138999999999999,6.19,0.93,1.36,0.8729327077
2596,2596,2596,NaPaO3,Na,Pa,1,element not in BV,element not in BV,1.39,0.91,orthorhombic,-2.915,-0.316,0,14.555,4.349,5.794,6.01,8.359,90,90,90,5.96,0.6740740741,0.8572887523999999,5.138999999999999,5.89,0.93,1.5,0.8540380604000001
2602,2602,2602,NaPuO3,Na,Pu,0,element not in BV,element not in BV,1.39,0.83,orthorhombic,-2.631,-0.084,0.6,13.779,1.196,5.74,5.842,8.219,90,90,90,0.983,0.6148148148,0.8887488901,5.138999999999999,6.06,0.93,1.28,0.8846761970999999
2607,2607,2607,NaSbO3,Na,Sb,0,1,5,1.39,0.6,orthorhombic,-1.832,0.09,-,11.477,1.647,5.42,5.486,7.719,90,90,90,2.765,0.44444444439999997,0.9935756823,5.138999999999999,8.641,0.93,2.05,0.9864139598
2610,2610,2610,NaSmO3,Na,Sm,0,not balanced,not balanced,1.39,0.96,orthorhombic,-2.245,0.185,0,13.5,2.744,6.111,6.245,7.075,90,90,90,-1.399,0.7111111111,0.8387327188,5.138999999999999,5.64,0.93,1.17,0.8359440337
2613,2613,2613,NaTaO3,Na,Ta,1,1,5,1.39,0.64,orthorhombic,-2.932,-0.092,0,11.773,2.851,5.466,5.534,7.784,90,90,90,6.194,0.47407407409999996,0.9736043118000001,5.138999999999999,7.89,0.93,1.5,0.9670725095999999
2621,2621,2621,NaUO3,Na,U,1,1,5,1.39,0.76,orthorhombic,-3.104,0.003,0.2,14.05,3.254,5.726,5.947,8.252,90,90,90,4.35,0.5629629629999999,0.9182334504999999,5.138999999999999,6.05,0.93,1.38,0.9133462590000001
2622,2622,2622,NaVO3,Na,V,1,1,5,1.39,0.54,tetragonal,-2.261,0.214,0,10.687,0.38,3.673,3.673,3.961,90,90,90,2.295,0.4,1.0251177674,5.138999999999999,6.74,0.93,1.63,1.0169216079999999
2624,2624,2624,NaYO3,Na,Y,0,not balanced,not balanced,1.39,0.9,orthorhombic,-2.301,0.19,0,13.021,2.772,6.06,6.126,7.015,90,90,90,-1.333,0.6666666667,0.8610989245999999,5.138999999999999,6.38,0.93,1.22,0.8577512694
2628,2628,2628,NbAcO3,Nb,Ac,0,element not in BV,element not in BV,0.77,1.12,rhombohedral,-2.769,0.268,0,17.012,0.448,6.029,6.029,6.029,64.5,64.5,64.5,-1.015,0.8296296296,0.606909464,6.88,5.17,1.6,1.1,0.608897506
2629,2629,2629,NbAgO3,Nb,Ag,0,3,3,0.72,0.75,orthorhombic,-1.87,0.182,0,14.047,1.521,5.571,5.888,8.565,90,90,90,-8.804,0.5555555556,0.6970052556999999,6.88,7.5760000000000005,1.6,1.93,0.6972401748999999
2637,2637,2637,NbCaO3,Nb,Ca,0,not balanced,not balanced,0.77,1.0,rhombohedral,-2.685,0.346,0.2,14.88,0.593,6.078,6.078,6.078,57.3,57.3,57.3,-,0.7407407407,0.6379005856000001,6.88,6.1129999999999995,1.6,1,0.6393423813
2642,2642,2642,NbCsO3,Nb,Cs,0,not balanced,not balanced,0.77,1.67,orthorhombic,-2.574,0.102,0,21.793,3.412,6.001,6.281,11.563,90,90,90,-,1.2370370370000001,0.4963795947,6.88,3.8939999999999997,1.6,0.79,0.49981163359999997
2643,2643,2643,NbCuO3,Nb,Cu,0,3,3,0.72,0.54,rhombohedral,-2.069,0.118,0,12.309,1.077,5.03,5.226,5.754,77.3,109,68.7,-1.211,0.4,0.7744502842000001,6.88,7.726,1.6,1.9,0.7727146268999999
2656,2656,2656,NbKO3,Nb,K,0,not balanced,not balanced,0.77,1.38,rhombohedral,-2.079,0.618,0,17.934,2.177,6.353,6.353,6.353,59.5,59.5,59.5,-19.044,1.0222222222,0.5491085627000001,6.88,4.341,1.6,0.82,0.5519502572999999
2657,2657,2657,NbLaO3,Nb,La,0,3,3,0.72,1.03,rhombohedral,-2.776,0.406,0,15.771,0.398,5.843,5.843,5.843,65.4,65.4,65.4,-9.466,0.762962963,0.6150046374,6.88,5.58,1.6,1.1,0.6168997433
2658,2658,2658,NbLiO3,Nb,Li,0,5,1,0.74,0.76,orthorhombic,-2.634,0.103,0,9.588,2.594,4.772,5.139,7.819,90,90,90,-2.884,0.5629629629999999,0.7004043472,6.88,5.392,1.6,0.98,0.7005594962
2663,2663,2663,NbNaO3,Nb,Na,0,not balanced,not balanced,0.77,1.02,orthorhombic,-2.492,0.214,0,13.091,2.601,5.522,5.708,8.307,90,90,90,-10.647,0.7555555556,0.6325174583,6.88,5.138999999999999,1.6,0.93,0.63405856
2676,2676,2676,NbRbO3,Nb,Rb,0,not balanced,not balanced,0.77,1.52,orthorhombic,-2.538,0.136,0,19.351,3.347,6.027,6.083,10.556,90,90,90,-21.272,1.1259259259,0.5223227790999999,6.88,4.177,1.6,0.82,0.5254868888
2692,2692,2692,NbTlO3,Nb,Tl,0,3,3,0.72,0.89,rhombohedral,-1.642,0.646,0,15.555,0.293,5.662,5.662,5.662,70.2,70.2,70.2,-9.673,0.6592592593,0.6534424273,6.88,6.108,1.6,1.62,0.654614138
2703,2703,2703,NdAlO3,Nd,Al,1,3,3,1.27,0.54,rhombohedral,-3.513,-0.03,0,10.645,4.598,5.297,5.297,5.297,60.6,60.6,60.6,6.454,0.4,0.9802220988,5.53,5.986000000000001,1.14,1.61,0.9731830442
2705,2705,2705,NdAuO3,Nd,Au,0,element not in BV,element not in BV,1.27,0.93,orthorhombic,-1.943,0.082,0,13.675,0.853,5.682,6.525,7.377,90,90,90,-0.053,0.6888888889,0.8125525293000001,5.53,9.225,1.14,2.54,0.810289745
2706,2706,2706,NdBO3,Nd,B,0,not balanced,not balanced,1.27,0.27,cubic,-2.431,0.867,0,8.909,2.497,3.545,3.545,3.545,90,90,90,5.021,0.2,1.1435924486,5.53,8.298,1.14,2.04,1.1305240154
2712,2712,2712,NdCeO3,Nd,Ce,0,2,4,1.35,0.87,cubic,-2.517,1.054,0,18.828,0.73,4.549,4.549,4.549,90,90,90,2.475,0.6444444443999999,0.8599947339,5.53,5.54,1.14,1.12,0.8566271578
2714,2714,2714,NdCrO3,Nd,Cr,1,3,3,1.27,0.62,orthorhombic,-3.122,-0.071,0.6,11.777,2.29,5.426,5.602,7.748,90,90,90,4.678,0.4592592593,0.9404161252,5.53,6.766,1.14,1.66,0.9346411415000001
2717,2717,2717,NdDyO3,Nd,Dy,0,3,3,1.27,0.91,cubic,-3.089,0.646,0,15.73,1.704,4.285,4.285,4.285,90,90,90,4.401,0.6740740741,0.8197432595999999,5.53,5.94,1.14,1.22,0.8173052406
2718,2718,2718,NdErO3,Nd,Er,0,3,3,1.27,0.89,cubic,-3.182,0.576,0,15.243,1.892,4.24,4.24,4.24,90,90,90,4.639,0.6592592593,0.8270623959000001,5.53,6.101,1.14,1.24,0.8244432776
2720,2720,2720,NdFeO3,Nd,Fe,1,3,3,1.27,0.65,orthorhombic,-2.706,-0.036,1,11.914,1.081,5.431,5.648,7.769,90,90,90,3.83,0.4814814815,0.9263098834000001,5.53,7.87,1.14,1.83,0.9209634662
2721,2721,2721,NdGaO3,Nd,Ga,1,3,3,1.27,0.62,orthorhombic,-2.891,0.001,0,11.664,3.895,5.426,5.556,7.738,90,90,90,4.861,0.4592592593,0.9404161252,5.53,5.999,1.14,1.81,0.9346411415000001
2722,2722,2722,NdGdO3,Nd,Gd,0,3,3,1.27,0.94,cubic,-2.98,0.726,0,16.298,1.412,4.335,4.335,4.335,90,90,90,4.071,0.6962962963,0.8090042649,5.53,6.15,1.14,1.2,0.8068269683
2726,2726,2726,NdHoO3,Nd,Ho,0,3,3,1.27,0.9,cubic,-3.137,0.61,0,15.48,1.702,4.262,4.262,4.262,90,90,90,4.513,0.6666666667,0.823386563,5.53,6.018,1.14,1.23,0.8208587415999999
2727,2727,2727,NdInO3,Nd,In,1,3,3,1.27,0.8,orthorhombic,-2.72,0.013,0,13.73,2.935,5.643,5.947,8.183,90,90,90,3.394,0.5925925926,0.8616836123999999,5.53,5.7860000000000005,1.14,1.78,0.8581705026
2728,2728,2728,NdIrO3,Nd,Ir,0,2,4,1.35,0.63,orthorhombic,-2.202,0.087,0,12.385,0.905,5.368,5.918,7.797,90,90,90,-0.008,0.4666666667,0.9642365198,5.53,9.1,1.14,2.2,0.957903275
2730,2730,2730,NdLaO3,Nd,La,0,3,3,1.27,1.03,cubic,-2.638,1.028,0,18.563,0.693,4.528,4.528,4.528,90,90,90,2.384,0.762962963,0.7784116667000001,5.53,5.58,1.14,1.1,0.7769444879999999
2732,2732,2732,NdLuO3,Nd,Lu,0,3,3,1.27,0.86,orthorhombic,-3.769,0.022,0,14.002,5.041,5.699,5.95,8.258,90,90,90,4.963,0.637037037,0.8382894872,5.53,5.4259,1.14,1.27,0.8353872148999999
2738,2738,2738,Nd2O3,Nd,Nd,0,3,3,1.27,0.98,cubic,-2.692,0.928,0,17.831,0.935,4.467,4.467,4.467,90,90,90,3.107,0.7259259259,0.7951157797,5.53,5.53,1.14,1.14,0.7932668512000001
2746,2746,2746,NdPrO3,Nd,Pr,0,2,4,1.35,0.85,cubic,-2.611,0.987,0,18.292,0.745,4.505,4.505,4.505,90,90,90,2.807,0.6296296296,0.8678128678,5.53,5.46,1.14,1.13,0.8642416215000001
2751,2751,2751,NdRhO3,Nd,Rh,1,2,4,1.35,0.6,orthorhombic,-2.336,-0.059,0,12.251,0.729,5.385,5.839,7.793,90,90,90,0.681,0.44444444439999997,0.9790709278,5.53,7.46,1.14,2.28,0.9722718241
2754,2754,2754,NdScO3,Nd,Sc,1,3,3,1.27,0.75,orthorhombic,-3.736,-0.022,0,12.923,4.473,5.565,5.802,8.004,90,90,90,5.348,0.5555555556,0.8821998889,5.53,6.54,1.14,1.36,0.8781279562000001
2756,2756,2756,NdSmO3,Nd,Sm,0,3,3,1.27,0.96,cubic,-2.834,0.827,0,17.064,1.318,4.402,4.402,4.402,90,90,90,0.939,0.7111111111,0.801999899,5.53,5.64,1.14,1.17,0.7999894516
2765,2765,2765,NdTlO3,Nd,Tl,0,3,3,1.27,0.89,orthorhombic,-2.226,0.053,0,14.802,1.178,5.739,6.113,8.439,90,90,90,1.067,0.6592592593,0.8270623959000001,5.53,6.108,1.14,1.62,0.8244432776
2766,2766,2766,NdTmO3,Nd,Tm,0,3,3,1.27,0.88,cubic,-3.239,0.537,0,14.978,1.895,4.215,4.215,4.215,90,90,90,4.762,0.6518518519,0.8307711958,5.53,6.184,1.14,1.25,0.8280592568999999
2768,2768,2768,NdVO3,Nd,V,1,3,3,1.27,0.64,orthorhombic,-3.196,-0.071,0.4,12.091,1.214,5.453,5.703,7.776,90,90,90,4.373,0.47407407409999996,0.9309647069,5.53,6.74,1.14,1.63,0.925477993
2770,2770,2770,NdYO3,Nd,Y,0,3,3,1.27,0.9,cubic,-3.065,0.649,0,15.735,1.82,4.285,4.285,4.285,90,90,90,4.343,0.6666666667,0.823386563,5.53,6.38,1.14,1.22,0.8208587415999999
2780,2780,2780,NiBaO3,Ni,Ba,0,not balanced,not balanced,0.59,1.35,orthorhombic,-1.395,0.373,0.8,18.39,0.763,5.748,6.519,9.815,90,90,90,-,1.0,0.5080693169,7.635,5.212000000000001,1.91,0.89,0.5116881797999999
2783,2783,2783,NiCaO3,Ni,Ca,0,not balanced,not balanced,0.59,1.0,rhombohedral,-1.458,0.342,0.8,13.428,0.764,5.927,5.927,5.927,56.2,56.2,56.2,-,0.7407407407,0.5837392150999999,7.635,6.1129999999999995,1.91,1,0.5863093727
2785,2785,2785,NiCeO3,Ni,Ce,0,not balanced,not balanced,0.59,0.94,orthorhombic,-2.011,0.283,0.6,13.989,0.489,5.591,5.897,8.485,90,90,90,-,0.6962962963,0.5990336924,7.635,5.54,1.91,1.12,0.6013429464
2803,2803,2803,NiLaO3,Ni,La,0,not balanced,not balanced,0.59,1.03,orthorhombic,-2.114,0.262,0.6,13.915,0.54,5.573,5.896,8.469,90,90,90,-,0.762962963,0.5763811578,7.635,5.58,1.91,1.1,0.5790709854
2816,2816,2816,NiPbO3,Ni,Pb,0,2,4,0.69,0.78,orthorhombic,-1.052,0.114,0.4,12.029,0.343,5.429,5.509,8.043,90,90,90,-,0.5777777778000001,0.6772290299,7.635,7.416,1.91,2.33,0.6779142994
2819,2819,2819,NiPrO3,Ni,Pr,0,not balanced,not balanced,0.59,0.92,orthorhombic,-2.037,0.275,0.6,13.738,0.518,5.568,5.843,8.444,90,90,90,-,0.6814814815000001,0.6043115222,7.635,5.46,1.91,1.13,0.6065269373
2821,2821,2821,NiPuO3,Ni,Pu,0,element not in BV,element not in BV,0.59,0.83,orthorhombic,-2.378,0.095,1.2,12.728,1.43,5.518,5.581,8.267,90,90,90,-,0.6148148148,0.6292601631,7.635,6.06,1.91,1.28,0.6310056029
2849,2849,2849,NpAlO3,Np,Al,0,element not in BV,element not in BV,0.98,0.54,rhombohedral,-3.502,-0.129,0.8,10.629,2.622,5.307,5.307,5.307,60.2,60.2,60.2,6.44,0.4,0.8717242329000001,6.19,5.986000000000001,1.36,1.61,0.8674815151
2853,2853,2853,NpBaO3,Np,Ba,0,element not in BV,element not in BV,0.98,1.35,orthorhombic,-3.067,0.322,0.6,18.349,2.404,6.602,6.691,8.308,90,90,90,-,1.0,0.610206963,6.19,5.212000000000001,1.36,0.89,0.6119687779
2854,2854,2854,NpBeO3,Np,Be,0,element not in BV,element not in BV,0.98,0.45,orthorhombic,-3.038,0.375,0.6,9.277,2.095,5.069,5.077,7.21,90,90,90,1.432,0.3333333333,0.9153104445,6.19,9.322000000000001,1.36,1.57,0.9096833185
2858,2858,2858,NpCeO3,Np,Ce,0,element not in BV,element not in BV,0.98,0.94,cubic,-2.562,0.938,0.8,18.835,0.38,4.55,4.55,4.55,90,90,90,-,0.6962962963,0.7194579913,6.19,5.54,1.36,1.12,0.7191940766
2860,2860,2860,NpCrO3,Np,Cr,0,element not in BV,element not in BV,0.98,0.58,orthorhombic,-3.083,-0.029,1.4,11.729,1.131,5.441,5.555,7.761,90,90,90,4.866,0.4296296296,0.8536574094,6.19,6.766,1.36,1.66,0.8499566359999999
2863,2863,2863,NpDyO3,Np,Dy,0,element not in BV,element not in BV,0.98,0.99,cubic,-3.136,0.529,0.8,15.765,1.742,4.288,4.288,4.288,90,90,90,-,0.7333333333,0.7040849573000001,6.19,5.94,1.36,1.22,0.7041481754000001
2864,2864,2864,NpErO3,Np,Er,0,element not in BV,element not in BV,0.98,0.89,orthorhombic,-3.699,-0.01,0.8,14.56,2.83,5.781,6.07,8.298,90,90,90,5.227,0.6592592593,0.7355173215,6.19,6.101,1.36,1.24,0.734897004
2866,2866,2866,NpFeO3,Np,Fe,0,element not in BV,element not in BV,0.98,0.67,orthorhombic,-2.74,0.094,1.4,12.033,1.35,5.357,5.983,7.509,90,90,90,4.556,0.49629629630000005,0.8156231684,6.19,7.87,1.36,1.83,0.8130019996
2867,2867,2867,NpGaO3,Np,Ga,0,element not in BV,element not in BV,0.98,0.62,orthorhombic,-2.862,0.065,0.8,11.752,2.042,5.468,5.536,7.765,90,90,90,4.907,0.4592592593,0.836324264,6.19,5.999,1.36,1.81,0.8331258115000001
2868,2868,2868,NpGdO3,Np,Gd,0,element not in BV,element not in BV,0.98,0.94,cubic,-3.028,0.609,0.8,16.325,1.517,4.338,4.338,4.338,90,90,90,4.648,0.6962962963,0.7194579913,6.19,6.15,1.36,1.2,0.7191940766
2872,2872,2872,NpHoO3,Np,Ho,0,element not in BV,element not in BV,0.98,0.9,rhombohedral,-3.592,0.086,0.8,14.96,2.113,5.911,5.911,5.911,61.1,61.1,61.1,-,0.6666666667,0.7322483556,6.19,6.018,1.36,1.23,0.7317017996999999
2873,2873,2873,NpInO3,Np,In,0,element not in BV,element not in BV,0.98,0.8,orthorhombic,-2.69,0.151,0.8,14.003,1.104,5.697,6.007,8.184,90,90,90,-,0.5925925926,0.7663064187,6.19,5.7860000000000005,1.36,1.78,0.7649609723999999
2875,2875,2875,NpKO3,Np,K,0,element not in BV,element not in BV,0.98,1.38,orthorhombic,-2.617,0.267,0.4,17.676,1.485,5.371,5.622,11.707,90,90,90,-,1.0222222222,0.6035013920000001,6.19,4.341,1.36,0.82,0.6053647983
2876,2876,2876,NpLaO3,Np,La,0,element not in BV,element not in BV,0.98,1.03,cubic,-2.684,0.912,0.8,18.675,0.391,4.537,4.537,4.537,90,90,90,-,0.762962963,0.6922515967,6.19,5.58,1.36,1.1,0.6925572589
2878,2878,2878,NpLuO3,Np,Lu,0,element not in BV,element not in BV,0.98,0.86,orthorhombic,-3.749,-0.028,0.8,14.135,2.807,5.72,6.006,8.229,90,90,90,-,0.637037037,0.7455017195,6.19,5.4259,1.36,1.27,0.7446522740000001
2879,2879,2879,NpMgO3,Np,Mg,0,element not in BV,element not in BV,0.98,0.72,orthorhombic,-3.275,0.129,0.6,11.58,2.262,5.344,5.679,7.631,90,90,90,-0.126,0.5333333333,0.7959221257,6.19,7.646,1.36,1.31,0.7938274242
2882,2882,2882,NpNaO3,Np,Na,0,element not in BV,element not in BV,0.98,1.02,orthorhombic,-2.626,0.225,0.4,13.281,1.515,5.475,5.677,8.546,90,90,90,-4.152,0.7555555556,0.6951724895,6.19,5.138999999999999,1.36,0.93,0.6954190658
2884,2884,2884,NpNdO3,Np,Nd,0,element not in BV,element not in BV,0.98,0.98,cubic,-2.739,0.812,0.8,17.819,0.77,4.466,4.466,4.466,90,90,90,-,0.7259259259,0.7071067812,6.19,5.53,1.36,1.14,0.7071067812
2885,2885,2885,NpNiO3,Np,Ni,0,element not in BV,element not in BV,0.98,0.59,orthorhombic,-2.622,0.101,1,11.519,2.162,5.277,5.782,7.551,90,90,90,3.251,0.437037037,0.8492571135,6.19,7.635,1.36,1.91,0.8456854971
2892,2892,2892,NpPrO3,Np,Pr,0,element not in BV,element not in BV,0.98,0.92,cubic,-2.657,0.871,0.8,18.305,0.597,4.507,4.507,4.507,90,90,90,-,0.6814814815000001,0.7257968283,6.19,5.46,1.36,1.13,0.7253940255
2895,2895,2895,NpRbO3,Np,Rb,0,element not in BV,element not in BV,0.98,1.52,orthorhombic,-2.483,0.374,0.4,17.565,1.862,6.757,7.133,7.289,90,90,90,-,1.1259259259,0.5740622997,6.19,4.177,1.36,0.82,0.5763404585999999
2900,2900,2900,NpScO3,Np,Sc,0,element not in BV,element not in BV,0.98,0.75,orthorhombic,-3.713,-0.069,0.8,13.01,2.627,5.587,5.82,8.002,90,90,90,5.6,0.5555555556,0.7845518095999999,6.19,6.54,1.36,1.36,0.7827507624
2902,2902,2902,NpSmO3,Np,Sm,0,element not in BV,element not in BV,0.98,0.96,cubic,-2.881,0.71,0.8,17.065,1.156,4.402,4.402,4.402,90,90,90,-,0.7111111111,0.7132289178,6.19,5.64,1.36,1.17,0.7130992115000001
2912,2912,2912,NpTmO3,Np,Tm,0,element not in BV,element not in BV,0.98,0.96,orthorhombic,-3.724,-0.018,0.8,14.396,2.638,5.758,6.034,8.288,90,90,90,-,0.7111111111,0.7132289178,6.19,6.184,1.36,1.25,0.7130992115000001
2914,2914,2914,NpVO3,Np,V,0,element not in BV,element not in BV,0.98,0.64,orthorhombic,-3.164,-0.033,1.2,12.126,1.129,5.462,5.707,7.781,90,90,90,4.508,0.47407407409999996,0.8279189951,6.19,6.74,1.36,1.63,0.8249579114
2916,2916,2916,NpYO3,Np,Y,0,element not in BV,element not in BV,0.98,0.9,cubic,-3.112,0.532,0.8,15.763,2.074,4.287,4.287,4.287,90,90,90,-,0.6666666667,0.7322483556,6.19,6.38,1.36,1.22,0.7317017996999999
2934,2934,2934,OsCsO3,Os,Cs,0,element not in BV,element not in BV,0.57,1.67,orthorhombic,-1.383,0.042,0.2,24.423,0.806,6.722,7.19,10.107,90,90,90,-,1.2370370370000001,0.4495513311,8.7,3.8939999999999997,2.2,0.79,0.4537460453
2994,2994,2994,PaAgO3,Pa,Ag,0,element not in BV,element not in BV,0.95,0.95,orthorhombic,-2.063,0.263,0,13.672,1.73,5.835,6.235,7.516,90,90,90,-1.774,0.7037037037,0.7071067812,5.89,7.5760000000000005,1.5,1.93,0.7071067812
2997,2997,2997,PaAuO3,Pa,Au,0,element not in BV,element not in BV,0.95,0.93,orthorhombic,-2.068,0.026,0,16.244,2.044,6.417,6.963,7.271,90,90,90,-2.825,0.6888888889,0.7133094722,5.89,9.225,1.5,2.54,0.7131763673
2999,2999,2999,PaBaO3,Pa,Ba,0,element not in BV,element not in BV,0.95,1.35,orthorhombic,-2.812,0.341,0.2,18.815,1.344,6.694,6.734,8.348,90,90,90,-,1.0,0.602350221,5.89,5.212000000000001,1.5,0.89,0.6042548857
3000,3000,3000,PaBeO3,Pa,Be,0,element not in BV,element not in BV,0.95,0.45,orthorhombic,-2.806,0.24,0.2,9.587,1.713,5.085,5.168,7.297,90,90,90,4.249,0.3333333333,0.9035253315,5.89,9.322000000000001,1.5,1.57,0.898216722
3003,3003,3003,PaCdO3,Pa,Cd,0,element not in BV,element not in BV,0.95,0.95,orthorhombic,-2.295,0.072,0.2,14.24,1.702,5.684,6.127,8.178,90,90,90,-1.407,0.7037037037,0.7071067812,5.89,8.993,1.5,1.69,0.7071067812
3008,3008,3008,PaCuO3,Pa,Cu,0,element not in BV,element not in BV,0.95,0.68,orthorhombic,-2.294,0.131,0,11.809,1.402,5.311,5.98,7.435,90,90,90,0.156,0.5037037037,0.8011554664,5.89,7.726,1.5,1.9,0.7988946806999999
3017,3017,3017,PaHgO3,Pa,Hg,0,element not in BV,element not in BV,0.95,1.11,orthorhombic,-1.915,0.26,0.2,15.677,0.68,5.699,6.204,8.868,90,90,90,-2.774,0.8222222222,0.6611160962,5.89,10.437000000000001,1.5,2,0.6620322453
