,Unnamed: 0,Unnamed: 0.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor
156,156,156,AlCdO3,Al,Cd,0,not balanced,not balanced,0.54,0.95,orthorhombic,-1.93,0.197,-,11.712,0.211,5.236,5.506,8.124,90,90,90,-7.376,0.7037037037,0.5810573115,5.986000000000001,8.993,1.61,1.69,0.5837392150999999
157,157,157,AlCeO3,Al,Ce,0,3,3,0.54,1.01,orthorhombic,-3.19,0.289,0,13.608,2.937,5.557,5.574,8.786,90,90,90,-7.106,0.7481481481000001,0.566284668,5.986000000000001,5.54,1.61,1.12,0.5692062886
162,162,162,AlDyO3,Al,Dy,0,3,3,0.54,0.91,rhombohedral,-3.343,0.244,0,13.125,3.763,5.993,5.993,5.993,54.1,54.1,54.1,-6.424,0.6740740741,0.5913415117,5.986000000000001,5.94,1.61,1.22,0.5938472535
163,163,163,AlErO3,Al,Er,0,3,3,0.54,0.89,orthorhombic,-3.36,0.242,0,11.774,3.077,5.328,5.337,8.281,90,90,90,-6.199,0.6592592593,0.5966213466,5.986000000000001,6.101,1.61,1.24,0.5990336924
167,167,167,AlGdO3,Al,Gd,0,3,3,0.54,0.94,rhombohedral,-3.316,0.253,0,13.622,3.807,6.086,6.086,6.086,53.8,53.8,53.8,-6.621,0.6962962963,0.5835946797,5.986000000000001,6.15,1.61,1.2,0.5862338271
171,171,171,AlHoO3,Al,Ho,0,3,3,0.54,0.9,rhombohedral,-3.357,0.238,0,12.949,3.715,5.966,5.966,5.966,54.1,54.1,54.1,-6.308,0.6666666667,0.5939696962,5.986000000000001,6.018,1.61,1.23,0.5964291979999999
172,172,172,AlInO3,Al,In,0,3,3,0.54,0.8,orthorhombic,-2.354,0.201,-,11.102,1.524,5.22,5.226,8.141,90,90,90,-5.702,0.5925925926,0.6215961937,5.986000000000001,5.7860000000000005,1.61,1.78,0.6235396161
174,174,174,AlKO3,Al,K,0,not balanced,not balanced,0.54,1.38,orthorhombic,-1.982,0.285,-,14.152,2.012,5.624,6.743,7.464,90,90,90,-16.374,1.0222222222,0.4895354639,5.986000000000001,4.341,1.61,0.82,0.4934486171
175,175,175,AlLaO3,Al,La,0,3,3,0.54,1.03,orthorhombic,-3.335,0.226,0,13.793,3.69,5.461,5.529,9.137,90,90,90,-6.662,0.762962963,0.5615259733,5.986000000000001,5.58,1.61,1.1,0.5645214632
177,177,177,AlLuO3,Al,Lu,0,3,3,0.54,0.86,rhombohedral,-3.397,0.225,0,12.134,3.815,5.786,5.786,5.786,55.1,55.1,55.1,-5.759,0.637037037,0.6047202789,5.986000000000001,5.4259,1.61,1.27,0.606985467
181,181,181,AlNaO3,Al,Na,0,not balanced,not balanced,0.54,1.02,orthorhombic,-1.971,0.321,-,11.427,2.09,5.461,5.978,7.002,90,90,90,-11.819,0.7555555556,0.5638952812,5.986000000000001,5.138999999999999,1.61,0.93,0.5668541965
183,183,183,AlNdO3,Al,Nd,0,3,3,0.54,0.98,orthorhombic,-3.233,0.28,0,13.108,3.042,5.495,5.509,8.66,90,90,90,-7.031,0.7259259259,0.5735758868999999,5.986000000000001,5.53,1.61,1.14,0.5763811578
185,185,185,AlNpO3,Al,Np,0,element not in BV,element not in BV,0.54,0.86,orthorhombic,-3.234,0.268,0.8,13.507,1.468,5.448,5.46,9.082,90,90,90,-1.407,0.637037037,0.6047202789,5.986000000000001,6.19,1.61,1.36,0.606985467
187,187,187,AlPaO3,Al,Pa,0,element not in BV,element not in BV,0.54,0.91,cubic,-2.259,0.768,0,16.861,2.193,4.385,4.385,4.385,90,90,90,5.433,0.6740740741,0.5913415117,5.986000000000001,5.89,1.61,1.5,0.5938472535
