,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor,A rs,A rp,A rd,B rs,B rp,B rd,B EA,B s total,B p total,B d total,B f total
27,27,27,27,27,AcIrO3,Ac,Ir,0,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.194,0.075,0,13.405,0.754,5.616,5.907,8.082,90,90,90,1.277,0.4666666667,0.8820978533,5.17,9.1,1.1,2.2,0.8820978533,,,,1.16,1.4680000000000002,0.526,1.5638,12,24,26,14
28,28,28,28,28,AcKO3,Ac,K,0,element not in BV,element not in BV,1.12,1.38,orthorhombic,-1.973,0.394,0.4,19.767,0,6.346,6.434,9.682,90,90,90,-2.742,1.0222222222,0.6397632782,5.17,4.341,1.1,0.82,0.6397632782,,,,1.54,2.15,0.37,0.50147,7,12,0,0
29,29,29,29,29,AcLaO3,Ac,La,0,element not in BV,element not in BV,1.12,1.03,cubic,-2.983,0.663,0,18.986,1.423,4.562,4.562,4.562,90,90,90,4.187,0.762962963,0.7338461131999999,5.17,5.58,1.1,1.1,0.7338461131999999,,,,1.375,1.705,0.8740000000000001,0.47,12,24,21,0
30,30,30,30,30,AcLiO3,Ac,Li,0,element not in BV,element not in BV,1.12,0.76,cubic,-2.248,0.223,0.399,11.628,0,3.874,3.874,3.874,90,90,90,-0.334,0.5629629629999999,0.8277505922,5.17,5.392,1.1,0.98,0.8277505922,,,,0.985,0.625,,0.618049,3,0,0,0
31,31,31,31,31,AcLuO3,Ac,Lu,0,element not in BV,element not in BV,1.12,0.86,orthorhombic,-3.793,-0.022,0,15.05,4.709,5.905,6.047,8.429,90,90,90,5.945,0.637037037,0.7902958143000001,5.17,5.4259,1.1,1.27,0.7902958143000001,,,,,,,0.34,12,24,20,14
32,32,32,32,32,AcMgO3,Ac,Mg,0,element not in BV,element not in BV,1.12,0.72,rhombohedral,-2.898,0.079,0.201,12.717,0,5.556,5.556,5.556,62.2,62.2,62.2,-,0.5333333333,0.8437457727,5.17,7.646,1.1,1.31,0.8437457727,,,,0.9,1.13,,,6,6,0,0
33,33,33,33,33,AcMnO3,Ac,Mn,0,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.918,-0.12,0.8,12.612,0,5.612,5.655,7.948,90,90,90,4.094,0.4592592593,0.8865755073999999,5.17,7.435,1.1,1.55,0.8865755073999999,,,,0.99,1.23,0.23,,8,12,5,0
34,34,34,34,34,AcMoO3,Ac,Mo,0,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.638,0.121,0.403,13.687,0,5.684,5.914,8.143,90,90,90,4.549,0.4592592593,0.8865755073999999,5.17,7.099,1.1,2.16,0.8865755073999999,,,,1.22,1.5,0.49,0.748,9,18,15,0
35,35,35,35,35,AcNaO3,Ac,Na,0,element not in BV,element not in BV,1.12,1.02,cubic,-1.826,0.544,0.4,13.679,0,4.09,4.09,4.09,90,90,90,-,0.7555555556,0.7369425104,5.17,5.138999999999999,1.1,0.93,0.7369425104,,,,1.1,1.55,,0.547926,5,6,0,0
36,36,36,36,36,AcNbO3,Ac,Nb,0,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.955,0.081,0.001,13.985,0,5.717,5.966,8.201,90,90,90,4.946,0.5037037037,0.8603713051999999,5.17,6.88,1.1,1.6,0.8603713051999999,,,,1.23,1.53,0.51,0.893,9,18,14,0
