Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor
CuCeO3,Cu,Ce,FALSE,not balanced,not balanced,0.68,0.94,rhombohedral,-1.953,0.204,0.4,15.973,0.464,6.703,6.703,6.703,49.4,49.4,49.4,-4.235,O,1.385,0.6280324745
CuCoO3,Cu,Co,FALSE,2,4,0.73,0.53,cubic,-0.389,0.56,0.75,9.845,0,3.665,3.665,3.665,90,90,90,-1.005,O,1.385,0.7809560534
CuCrO3,Cu,Cr,FALSE,1,5,0.77,0.49,cubic,-1.078,0.52,0.2,10.174,0,3.705,3.705,3.705,90,90,90,-0.457,O,1.385,0.8127013938
CuCsO3,Cu,Cs,FALSE,not balanced,not balanced,0.68,1.67,cubic,0.678,1.677,-,16.147,0,4.322,4.322,4.322,90,90,90,-2.165,O,1.385,0.4779625215
Cu2O3,Cu,Cu,FALSE,not balanced,not balanced,0.68,0.68,cubic,0.04,0.685,-,9.94,0,3.677,3.677,3.677,90,90,90,-3.296,O,1.385,0.7071067812
CuDyO3,Cu,Dy,FALSE,not balanced,not balanced,0.68,0.99,rhombohedral,-2.062,0.267,0.4,13.329,0.373,6.017,6.017,6.017,54.2,54.2,54.2,-3.666,O,1.385,0.6148107382
CuErO3,Cu,Er,FALSE,not balanced,not balanced,0.68,0.89,cubic,-1.258,1.09,-0.016,15.678,0,4.28,4.28,4.28,90,90,90,-4.064,O,1.385,0.641835386
CuEuO3,Cu,Eu,FALSE,not balanced,not balanced,0.68,1.06,orthorhombic,-1.738,0.104,0.2,12.733,0,4.838,5.894,8.931,90,90,90,-6.969,O,1.385,0.5972087947
CuFeO3,Cu,Fe,FALSE,2,4,0.73,0.59,cubic,-0.649,0.508,0.959,10.271,0,3.717,3.717,3.717,90,90,90,-1.512,O,1.385,0.7572308062
CuGaO3,Cu,Ga,FALSE,not balanced,not balanced,0.68,0.62,cubic,-0.625,0.748,-,10.951,0,3.797,3.797,3.797,90,90,90,-3.441,O,1.385,0.7282670839
CuGdO3,Cu,Gd,FALSE,not balanced,not balanced,0.68,0.94,rhombohedral,-2.036,0.271,0.4,13.667,0.342,6.05,6.05,6.05,54.5,54.5,54.5,-4.248,O,1.385,0.6280324745
CuGeO3,Cu,Ge,FALSE,2,4,0.73,0.53,cubic,-0.911,0.545,-,10.115,0,3.698,3.698,3.698,90,90,90,-0.446,O,1.385,0.7809560534
CuHfO3,Cu,Hf,FALSE,not balanced,not balanced,0.68,0.71,cubic,-2.027,0.599,0.201,13.388,0,4.06,4.06,4.06,90,90,90,-0.592,O,1.385,0.6969811471
CuHgO3,Cu,Hg,FALSE,not balanced,not balanced,0.68,1.11,orthorhombic,-0.195,0.309,-,11.6,0,5.176,5.352,8.375,90,90,90,-4.205,O,1.385,0.5852406826
CuHoO3,Cu,Ho,FALSE,not balanced,not balanced,0.68,0.9,rhombohedral,-2.075,0.263,0.399,13.217,0.384,6.023,6.023,6.023,53.8,53.8,53.8,-3.538,O,1.385,0.6390264784
CuInO3,Cu,In,FALSE,not balanced,not balanced,0.68,0.8,cubic,-0.28,0.964,-,13.835,0,4.105,4.105,4.105,90,90,90,-4.021,O,1.385,0.6682725415
CuIrO3,Cu,Ir,FALSE,1,5,0.77,0.57,cubic,-0.389,0.572,0.248,11.438,0,3.853,3.853,3.853,90,90,90,0.844,O,1.385,0.7794450708
CuKO3,Cu,K,FALSE,not balanced,not balanced,0.68,1.38,cubic,1.129,2.138,-,16.91,0,4.389,4.389,4.389,90,90,90,-4.542,O,1.385,0.5280924062
CuLaO3,Cu,La,FALSE,not balanced,not balanced,0.68,1.03,rhombohedral,-2.025,0.239,0.4,15.024,0.263,6.195,6.195,6.195,55.4,55.4,55.4,-3.569,O,1.385,0.6046275375
CuLiO3,Cu,Li,FALSE,not balanced,not balanced,0.68,0.76,cubic,0.142,1.197,-,8.729,0,3.521,3.521,3.521,90,90,90,-7.168,O,1.385,0.6807345003
CuLuO3,Cu,Lu,FALSE,not balanced,not balanced,0.68,0.86,cubic,-1.336,0.991,-0.005,15.015,0,4.219,4.219,4.219,90,90,90,-3.845,O,1.385,0.6504122508
CuMgO3,Cu,Mg,FALSE,not balanced,not balanced,0.68,0.72,cubic,-0.519,0.999,-,11.107,0,3.815,3.815,3.815,90,90,90,-4.654,O,1.385,0.6936700728
CuMnO3,Cu,Mn,FALSE,2,4,0.73,0.53,cubic,-0.835,0.558,0.4,10.248,0,3.714,3.714,3.714,90,90,90,-1.681,O,1.385,0.7809560534
CuMoO3,Cu,Mo,FALSE,1,5,0.77,0.61,rhombohedral,-1.645,0.089,0,10.565,0,5.484,5.484,5.484,55.9,55.9,55.9,3.985,O,1.385,0.7638170995
CuNaO3,Cu,Na,FALSE,not balanced,not balanced,0.68,1.02,cubic,0.744,1.752,-,12.732,0,3.993,3.993,3.993,90,90,90,-11.78,O,1.385,0.6071415814
CuNbO3,Cu,Nb,FALSE,1,5,0.77,0.64,rhombohedral,-2.121,0.066,0,11.121,0.787,5.59,5.59,5.59,55.7,55.7,55.7,4.362,O,1.385,0.7525012906
CuNdO3,Cu,Nd,FALSE,not balanced,not balanced,0.68,0.98,rhombohedral,-1.961,0.298,0.4,14.573,0.356,6.164,6.164,6.164,54.8,54.8,54.8,-3.862,O,1.385,0.6174103607
