Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor
IrPdO3,Ir,Pd,FALSE,3,3,0.68,0.76,cubic,0.627,1.525,0.768,12.101,0,3.926,3.926,3.926,90,90,90,-6.252,O,1.385,0.6807345003
IrPmO3,Ir,Pm,FALSE,element not in BV,element not in BV,0.63,0.97,cubic,-0.423,1.894,0.811,17.05,0,4.401,4.401,4.401,90,90,90,-9.414,O,1.385,0.605019178
IrPrO3,Ir,Pr,FALSE,3,3,0.68,0.99,cubic,-0.314,1.97,0.815,17.851,0,4.469,4.469,4.469,90,90,90,-9.787,O,1.385,0.6148107382
IrPtO3,Ir,Pt,FALSE,element not in BV,element not in BV,0.63,0.67,cubic,0.656,1.531,0.728,12.382,0,3.956,3.956,3.956,90,90,90,-2.944,O,1.385,0.6933431455
IrPuO3,Ir,Pu,FALSE,element not in BV,element not in BV,0.63,0.83,cubic,-0.861,1.434,1.278,15.793,0,4.29,4.29,4.29,90,90,90,-4.973,O,1.385,0.6432596678
IrRbO3,Ir,Rb,FALSE,not balanced,not balanced,0.63,1.52,rhombohedral,-1.136,0.154,0.4,19.477,0.881,6.345,6.345,6.345,63.5,63.5,63.5,-20.814,O,1.385,0.4904716572
IrReO3,Ir,Re,FALSE,3,3,0.68,0.63,cubic,-0.213,1.308,0.398,11.731,0,3.885,3.885,3.885,90,90,90,0.247,O,1.385,0.7246528552
IrRhO3,Ir,Rh,FALSE,3,3,0.68,0.67,cubic,0.397,1.347,0.743,11.722,0,3.884,3.884,3.884,90,90,90,-1.62,O,1.385,0.7105476901
IrRuO3,Ir,Ru,FALSE,3,3,0.68,0.68,cubic,0.168,1.247,0.32,11.548,0,3.865,3.865,3.865,90,90,90,-0.77,O,1.385,0.7071067812
IrSbO3,Ir,Sb,FALSE,not balanced,not balanced,0.63,0.68,cubic,-0.076,1.234,0.484,12.761,0,3.996,3.996,3.996,90,90,90,0.693,O,1.385,0.6899855516
IrScO3,Ir,Sc,FALSE,3,3,0.68,0.75,cubic,-0.919,1.464,0.8,12.862,0,4.006,4.006,4.006,90,90,90,-5.969,O,1.385,0.6839229523
IrSiO3,Ir,Si,FALSE,not balanced,not balanced,0.63,0.4,cubic,-0.862,1.301,0.599,9.282,0,3.594,3.594,3.594,90,90,90,2.294,O,1.385,0.7982185793
IrSmO3,Ir,Sm,FALSE,3,3,0.68,0.96,cubic,-0.457,1.873,0.809,16.809,0,4.38,4.38,4.38,90,90,90,-9.274,O,1.385,0.6226761207
IrSnO3,Ir,Sn,FALSE,not balanced,not balanced,0.63,0.69,cubic,-0.206,1.286,0.607,12.922,0,4.013,4.013,4.013,90,90,90,-3.179,O,1.385,0.68666032
IrSrO3,Ir,Sr,FALSE,not balanced,not balanced,0.63,1.18,rhombohedral,-1.619,0.244,0.2,15.922,0,5.956,5.956,5.956,63,63,63,-14.249,O,1.385,0.5554854441
IrTaO3,Ir,Ta,FALSE,3,3,0.68,0.72,cubic,-1.213,1.138,0.424,12.476,0,3.966,3.966,3.966,90,90,90,3.661,O,1.385,0.6936700728
IrTbO3,Ir,Tb,FALSE,3,3,0.68,0.92,cubic,-0.473,1.786,0.807,15.915,0,4.301,4.301,4.301,90,90,90,-8.596,O,1.385,0.6334817801
IrTcO3,Ir,Tc,FALSE,element not in BV,element not in BV,0.63,0.6,cubic,-0.182,1.157,0.39,11.631,0,3.874,3.874,3.874,90,90,90,0.417,O,1.385,0.7177935335
IrTeO3,Ir,Te,FALSE,not balanced,not balanced,0.63,0.77,cubic,0.247,1.346,0.499,13.695,0,4.091,4.091,4.091,90,90,90,-0.855,O,1.385,0.6611694497
IrThO3,Ir,Th,FALSE,not balanced,not balanced,0.63,0.94,cubic,-1.109,1.752,0.624,18.489,0,4.522,4.522,4.522,90,90,90,-4.929,O,1.385,0.612825877
IrTiO3,Ir,Ti,FALSE,3,3,0.68,0.67,cubic,-1.152,1.113,0.603,11.409,0,3.85,3.85,3.85,90,90,90,-1.56,O,1.385,0.7105476901
IrTlO3,Ir,Tl,FALSE,3,3,0.68,0.89,rhombohedral,-0.731,0.253,0.4,17.947,0.544,5.943,5.943,5.943,70.1,70.1,70.1,-10.072,O,1.385,0.641835386
IrTmO3,Ir,Tm,FALSE,3,3,0.68,0.88,cubic,-0.764,1.681,0.802,14.978,0,4.215,4.215,4.215,90,90,90,-7.71,O,1.385,0.6446690963
IrUO3,Ir,U,FALSE,3,3,0.68,1.03,cubic,-1.349,1.262,0.701,15.876,0,4.298,4.298,4.298,90,90,90,3.247,O,1.385,0.6046275375
IrVO3,Ir,V,FALSE,3,3,0.68,0.64,cubic,-0.69,1.131,0.643,10.822,0,3.782,3.782,3.782,90,90,90,-2.37,O,1.385,0.7210743225
IrWO3,Ir,W,FALSE,3,3,0.68,0.66,cubic,-0.656,1.3,0.391,11.95,0,3.909,3.909,3.909,90,90,90,1.469,O,1.385,0.7140222509
IrYO3,Ir,Y,FALSE,3,3,0.68,0.9,cubic,-0.617,1.766,0.804,15.817,0,4.292,4.292,4.292,90,90,90,-8.38,O,1.385,0.6390264784
IrYbO3,Ir,Yb,FALSE,3,3,0.68,0.87,rhombohedral,-1.731,0.375,0.068,13.293,0,5.616,5.616,5.616,62.7,62.7,62.7,-12.016,O,1.385,0.6475279393
IrZnO3,Ir,Zn,FALSE,not balanced,not balanced,0.63,0.74,cubic,0.319,1.617,0.873,11.084,0,3.813,3.813,3.813,90,90,90,-8.033,O,1.385,0.6705036066
IrZrO3,Ir,Zr,FALSE,3,3,0.68,0.72,cubic,-1.191,1.308,0.608,13.892,0,4.111,4.111,4.111,90,90,90,-2.392,O,1.385,0.6936700728
KAcO3,K,Ac,FALSE,element not in BV,element not in BV,1.64,1.12,rhombohedral,-2.058,0.31,0,18.497,0,6.385,6.385,6.385,60.2,60.2,60.2,-0.448,O,1.385,0.8538914224
KAgO3,K,Ag,FALSE,not balanced,not balanced,1.64,0.95,orthorhombic,-0.313,0.442,-,13.52,0,5.644,5.735,8.354,90,90,90,-1.608,O,1.385,0.9160591062
KAlO3,K,Al,FALSE,not balanced,not balanced,1.64,0.54,cubic,-1.857,0.411,-,11.075,0,3.812,3.812,3.812,90,90,90,-1.447,O,1.385,1.111167799
KAsO3,K,As,FALSE,not balanced,not balanced,1.64,0.52,rhombohedral,-1.355,0.372,-,11.008,0,5.377,5.377,5.377,60.1,60.1,60.1,0.502,O,1.385,1.1228336027
KAuO3,K,Au,FALSE,element not in BV,element not in BV,1.64,0.93,orthorhombic,-0.444,0.363,-,13.223,0,5.637,5.703,8.226,90,90,90,-1.585,O,1.385,0.9239732238
KBO3,K,B,FALSE,not balanced,not balanced,1.64,0.27,cubic,-0.648,1.4,-,8.826,0,3.534,3.534,3.534,90,90,90,-4.715,O,1.385,1.2924459294
KBaO3,K,Ba,FALSE,not balanced,not balanced,1.64,1.35,cubic,-1.017,0.76,-,19.726,0,4.62,4.62,4.62,90,90,90,-1.657,O,1.385,0.7820833686
KBeO3,K,Be,FALSE,not balanced,not balanced,1.64,0.45,cubic,-0.918,0.917,-,9.916,0,3.674,3.674,3.674,90,90,90,-3.124,O,1.385,1.1656664921
KBiO3,K,Bi,TRUE,1,5,1.64,0.76,orthorhombic,-1.352,0.098,-,14.845,0.273,5.912,5.97,8.412,90,90,90,0.393,O,1.385,0.9972018709
KCaO3,K,Ca,FALSE,not balanced,not balanced,1.64,1,cubic,-1.156,0.771,-,17.229,0,4.416,4.416,4.416,90,90,90,-1.823,O,1.385,0.8968545128
KCdO3,K,Cd,FALSE,not balanced,not balanced,1.64,0.95,cubic,-0.527,0.616,-,15.02,0,4.219,4.219,4.219,90,90,90,-1.451,O,1.385,0.9160591062
KCeO3,K,Ce,FALSE,not balanced,not balanced,1.64,0.94,orthorhombic,-1.938,0.4,0.399,18.832,0,6.439,6.464,9.048,90,90,90,-0.902,O,1.385,0.9199991454
KCoO3,K,Co,FALSE,not balanced,not balanced,1.64,0.63,tetragonal,-1.001,0.246,0.885,12.307,0,3.685,3.685,4.531,90,90,90,-2.955,O,1.385,1.0615374755
KCrO3,K,Cr,FALSE,1,5,1.64,0.49,tetragonal,-1.76,0.289,0.237,13.099,0,3.614,3.614,5.013,90,90,90,-0.011,O,1.385,1.1407989403
KCsO3,K,Cs,FALSE,not balanced,not balanced,1.64,1.67,cubic,-0.251,0.898,-,17.325,0,4.425,4.425,4.425,90,90,90,-1.19,O,1.385,0.7001630157
KCuO3,K,Cu,FALSE,not balanced,not balanced,1.64,0.68,cubic,-0.509,0.5,-,11.323,0,3.84,3.84,3.84,90,90,90,-1.655,O,1.385,1.0358343889
KDyO3,K,Dy,FALSE,not balanced,not balanced,1.64,0.99,cubic,-2.133,0.369,0.4,17.226,0,4.416,4.416,4.416,90,90,90,-0.865,O,1.385,0.9006307424
KErO3,K,Er,FALSE,not balanced,not balanced,1.64,0.89,cubic,-2.169,0.366,0.4,16.819,0,4.381,4.381,4.381,90,90,90,-0.788,O,1.385,0.9402189069
KEuO3,K,Eu,FALSE,not balanced,not balanced,1.64,1.06,cubic,-1.411,0.596,0.6,18.467,0,4.52,4.52,4.52,90,90,90,-0.995,O,1.385,0.8748458131
KFeO3,K,Fe,FALSE,not balanced,not balanced,1.64,0.67,tetragonal,-1.252,0.193,0.691,12.312,0,3.677,3.677,4.554,90,90,90,-0.61,O,1.385,1.0408749455
KGaO3,K,Ga,FALSE,not balanced,not balanced,1.64,0.62,cubic,-1.227,0.417,-,12.286,0,3.946,3.946,3.946,90,90,90,-1.802,O,1.385,1.0668319267
KGdO3,K,Gd,FALSE,not balanced,not balanced,1.64,0.94,cubic,-2.094,0.38,0.4,17.681,0,4.455,4.455,4.455,90,90,90,-0.88,O,1.385,0.9199991454
KGeO3,K,Ge,FALSE,not balanced,not balanced,1.64,0.63,rhombohedral,-1.472,0.263,-,11.248,0,5.416,5.416,5.416,60.1,60.1,60.1,-0.54,O,1.385,1.0615374755
KHfO3,K,Hf,FALSE,not balanced,not balanced,1.64,0.71,orthorhombic,-2.788,0.096,0.2,14.248,0,5.856,5.869,8.292,90,90,90,0.398,O,1.385,1.0210014382
KHgO3,K,Hg,FALSE,not balanced,not balanced,1.64,1.11,cubic,-0.302,0.529,-,15.258,0,4.241,4.241,4.241,90,90,90,-1.42,O,1.385,0.8573138329
KHoO3,K,Ho,FALSE,not balanced,not balanced,1.64,0.9,orthorhombic,-2.152,0.363,0.4,16.945,0,6.193,6.232,8.782,90,90,90,-0.846,O,1.385,0.9361041633
KInO3,K,In,FALSE,not balanced,not balanced,1.64,0.8,cubic,-1.076,0.449,-,15.018,0,4.219,4.219,4.219,90,90,90,-1.395,O,1.385,0.9789464591
KIrO3,K,Ir,FALSE,1,5,1.64,0.57,orthorhombic,-1.133,0.192,0.155,12.069,0,5.521,5.575,7.842,90,90,90,1.458,O,1.385,1.0941166307
K2O3,K,K,FALSE,not balanced,not balanced,1.64,1.38,orthorhombic,-0.842,0.313,-,19.173,0,6.61,7.369,7.873,90,90,90,-10.721,O,1.385,0.7735978348
KLaO3,K,La,FALSE,not balanced,not balanced,1.64,1.03,orthorhombic,-2.065,0.371,0.4,18.346,0,6.372,6.394,9.005,90,90,90,-0.83,O,1.385,0.885713463
KLiO3,K,Li,FALSE,not balanced,not balanced,1.64,0.76,cubic,-0.344,0.953,-,11.399,0,3.848,3.848,3.848,90,90,90,-2.728,O,1.385,0.9972018709
KLuO3,K,Lu,FALSE,not balanced,not balanced,1.64,0.86,rhombohedral,-2.221,0.337,0.4,16.121,0,6.084,6.084,6.084,60.5,60.5,60.5,-0.716,O,1.385,0.9527830793
KMgO3,K,Mg,FALSE,not balanced,not balanced,1.64,0.72,cubic,-1.144,0.683,-,12.83,0,4.003,4.003,4.003,90,90,90,-1.746,O,1.385,1.0161510751
KMnO3,K,Mn,FALSE,not balanced,not balanced,1.64,0.62,tetragonal,-1.465,0.196,0.4,12.669,0,3.653,3.653,4.747,90,90,90,-1.027,O,1.385,1.0668319267
KMoO3,K,Mo,FALSE,1,5,1.64,0.61,rhombohedral,-2.247,0.032,0,12.235,0,5.572,5.572,5.572,60,60,60,5.02,O,1.385,1.0721794552
KNaO3,K,Na,FALSE,not balanced,not balanced,1.64,1.02,cubic,-0.069,1.113,-,15.205,0,4.236,4.236,4.236,90,90,90,-2.431,O,1.385,0.8893962632
KNbO3,K,Nb,TRUE,1,5,1.64,0.64,tetragonal,-2.697,-0.221,0,13.332,1.714,4.003,4.003,4.161,90,90,90,5.482,O,1.385,1.0562953151
KNdO3,K,Nd,FALSE,not balanced,not balanced,1.64,0.98,orthorhombic,-1.992,0.396,0.4,18.285,0,6.373,6.385,8.987,90,90,90,-0.889,O,1.385,0.9044389062
KNiO3,K,Ni,FALSE,not balanced,not balanced,1.64,0.59,cubic,-0.634,0.512,0.704,11.866,0,3.9,3.9,3.9,90,90,90,-1.415,O,1.385,1.0830369687
KNpO3,K,Np,FALSE,element not in BV,element not in BV,1.64,0.86,orthorhombic,-2.884,-0.142,0.4,15.98,1.897,6.072,6.101,8.627,90,90,90,1.454,O,1.385,0.9527830793
KOsO3,K,Os,FALSE,element not in BV,element not in BV,1.64,0.57,cubic,-1.467,0.015,-0.001,11.89,0,3.903,3.903,3.903,90,90,90,3.294,O,1.385,1.0941166307
KPaO3,K,Pa,TRUE,element not in BV,element not in BV,1.64,0.91,cubic,-2.947,-0.567,0,16.978,4.236,4.395,4.395,4.395,90,90,90,6.314,O,1.385,0.932025278
KPbO3,K,Pb,FALSE,not balanced,not balanced,1.64,0.99,orthorhombic,-1.041,0.205,-,16.374,0,6.132,6.135,8.705,90,90,90,-0.959,O,1.385,0.9006307424
KPdO3,K,Pd,FALSE,not balanced,not balanced,1.64,0.75,tetragonal,-0.668,0.283,-,13.256,0,3.878,3.878,4.407,90,90,90,-1.255,O,1.385,1.0018726057
KPmO3,K,Pm,FALSE,element not in BV,element not in BV,1.64,0.97,rhombohedral,-2.023,0.393,0.4,18.067,0,6.286,6.286,6.286,61.3,61.3,61.3,-0.854,O,1.385,0.9082794111
KPrO3,K,Pr,FALSE,not balanced,not balanced,1.64,0.92,orthorhombic,-1.967,0.401,0.4,18.564,0,6.409,6.431,9.009,90,90,90,-0.92,O,1.385,0.9279817844
KPtO3,K,Pt,FALSE,element not in BV,element not in BV,1.64,0.67,orthorhombic,-0.847,0.228,0.2,12.517,0,5.575,5.639,7.963,90,90,90,-0.2,O,1.385,1.0408749455
KPuO3,K,Pu,FALSE,element not in BV,element not in BV,1.64,0.83,orthorhombic,-2.652,-0.1,0.6,15.942,1.203,6.06,6.101,8.624,90,90,90,1.309,O,1.385,0.9656875906
KRbO3,K,Rb,FALSE,not balanced,not balanced,1.64,1.52,orthorhombic,-1.044,0.102,-,18.489,2.246,6.635,7.351,7.581,90,90,90,-2.794,O,1.385,0.7363160114
KReO3,K,Re,FALSE,1,5,1.64,0.58,cubic,-1.92,0.008,0,11.989,0,3.914,3.914,3.914,90,90,90,5.027,O,1.385,1.0885486072
KRhO3,K,Rh,FALSE,not balanced,not balanced,1.64,0.61,tetragonal,-1.03,0.192,0.424,12.434,0,3.925,3.925,4.035,90,90,90,0.416,O,1.385,1.0721794552
KRuO3,K,Ru,FALSE,1,5,1.64,0.57,orthorhombic,-1.363,0.089,0,11.871,0,5.516,5.517,7.803,90,90,90,2.026,O,1.385,1.0941166307
KSbO3,K,Sb,FALSE,1,5,1.64,0.6,orthorhombic,-1.742,0.151,-,12.735,0.275,5.641,5.649,7.992,90,90,90,2.508,O,1.385,1.077580863
KScO3,K,Sc,FALSE,not balanced,not balanced,1.64,0.75,cubic,-2.18,0.313,0.4,14.429,0,4.163,4.163,4.163,90,90,90,-0.848,O,1.385,1.0018726057
KSiO3,K,Si,FALSE,not balanced,not balanced,1.64,0.4,tetragonal,-2.178,0.306,-,12.242,0,3.323,3.323,5.542,90,90,90,-0.496,O,1.385,1.1983182146
KSmO3,K,Sm,FALSE,not balanced,not balanced,1.64,0.96,orthorhombic,-2.038,0.39,0.4,17.899,0,6.324,6.347,8.919,90,90,90,-0.854,O,1.385,0.9121526708
KSnO3,K,Sn,FALSE,not balanced,not balanced,1.64,0.69,rhombohedral,-1.57,0.164,-,13.904,0,5.815,5.815,5.815,60,60,60,-0.076,O,1.385,1.0308424159
KSrO3,K,Sr,FALSE,not balanced,not balanced,1.64,1.18,cubic,-1.018,0.809,-,19.43,0,4.597,4.597,4.597,90,90,90,-2.007,O,1.385,0.833917354
KTaO3,K,Ta,TRUE,1,5,1.64,0.64,rhombohedral,-2.92,-0.38,0,12.838,2.324,5.663,5.663,5.663,60,60,60,6.626,O,1.385,1.0562953151
KTbO3,K,Tb,FALSE,not balanced,not balanced,1.64,0.84,cubic,-1.983,0.375,0.4,17.438,0,4.434,4.434,4.434,90,90,90,-0.869,O,1.385,0.9613474216
KTcO3,K,Tc,FALSE,element not in BV,element not in BV,1.64,0.6,cubic,-1.832,-0.048,0,11.898,0,3.904,3.904,3.904,90,90,90,3.877,O,1.385,1.077580863
KTeO3,K,Te,FALSE,not balanced,not balanced,1.64,0.77,orthorhombic,-1.482,0.003,-,13.662,0,5.781,5.781,8.176,90,90,90,1.684,O,1.385,0.992574484
KThO3,K,Th,FALSE,not balanced,not balanced,1.64,0.94,orthorhombic,-2.835,0.213,0.2,18.058,0,6.331,6.355,8.977,90,90,90,0.358,O,1.385,0.9199991454
KTiO3,K,Ti,FALSE,not balanced,not balanced,1.64,0.71,tetragonal,-2.443,0.154,0.201,12.265,0,3.943,3.943,3.944,90,90,90,-0.13,O,1.385,1.0210014382
KTlO3,K,Tl,FALSE,not balanced,not balanced,1.64,1.2,orthorhombic,-0.617,0.463,-,15.731,0,6.058,6.068,8.559,90,90,90,-1.539,O,1.385,0.8274653822
KTmO3,K,Tm,FALSE,not balanced,not balanced,1.64,0.96,cubic,-2.194,0.349,0.4,16.552,0,4.358,4.358,4.358,90,90,90,-0.757,O,1.385,0.9121526708
KUO3,K,U,TRUE,not balanced,not balanced,1.64,0.85,orthorhombic,-3.14,-0.065,0.2,16.302,3.197,6.12,6.144,8.671,90,90,90,-11.265,O,1.385,0.9570460909
KVO3,K,V,FALSE,1,5,1.64,0.54,tetragonal,-2.271,0.099,0,12.542,0.284,3.685,3.685,4.618,90,90,90,2.017,O,1.385,1.111167799
KWO3,K,W,FALSE,1,5,1.64,0.62,orthorhombic,-2.372,-0.004,-0.001,12.255,0,5.572,5.577,7.887,90,90,90,6.026,O,1.385,1.0668319267
KYO3,K,Y,FALSE,not balanced,not balanced,1.64,0.9,orthorhombic,-2.11,0.38,0.4,17.362,0,6.167,6.355,8.859,90,90,90,-0.871,O,1.385,0.9361041633
KYbO3,K,Yb,FALSE,not balanced,not balanced,1.64,0.95,cubic,-1.327,0.725,-,15.839,0,4.294,4.294,4.294,90,90,90,-1.331,O,1.385,0.9160591062
KZnO3,K,Zn,FALSE,not balanced,not balanced,1.64,0.74,cubic,-0.701,0.608,-,12.254,0,3.942,3.942,3.942,90,90,90,-1.732,O,1.385,1.0065873003
KZrO3,K,Zr,FALSE,not balanced,not balanced,1.64,0.72,orthorhombic,-2.639,0.12,0.2,14.879,0,5.941,5.955,8.412,90,90,90,0.148,O,1.385,1.0161510751
LaAcO3,La,Ac,FALSE,element not in BV,element not in BV,1.36,1.12,cubic,-2.568,1.078,-0.002,20.589,0.273,4.687,4.687,4.687,90,90,90,2.449,O,1.385,0.7748535387
LaAgO3,La,Ag,FALSE,3,3,1.36,0.75,orthorhombic,-1.962,0.007,0,13.645,0,5.635,5.994,8.08,90,90,90,0.272,O,1.385,0.9091372901
LaAlO3,La,Al,TRUE,3,3,1.36,0.54,rhombohedral,-3.561,-0.072,0,10.913,4.122,5.359,5.359,5.359,60.1,60.1,60.1,-,O,1.385,1.0083159036
LaAsO3,La,As,FALSE,3,3,1.36,0.58,orthorhombic,-2.415,0.236,0,13.681,0,5.658,5.954,8.122,90,90,90,3.038,O,1.385,0.987790389
LaAuO3,La,Au,FALSE,element not in BV,element not in BV,1.36,0.93,cubic,-1.614,0.533,-0.005,14.19,0,4.14,4.14,4.14,90,90,90,0.235,O,1.385,0.8384484295
LaBO3,La,B,FALSE,not balanced,not balanced,1.36,0.27,cubic,-2.441,0.916,0,9.267,2.138,3.592,3.592,3.592,90,90,90,4.68,O,1.385,1.1728145706
LaBaO3,La,Ba,FALSE,not balanced,not balanced,1.36,1.35,orthorhombic,-2.787,0.248,0.2,20.096,0.52,6.66,6.722,8.977,90,90,90,-2.741,O,1.385,0.7096921808
LaBeO3,La,Be,FALSE,not balanced,not balanced,1.36,0.45,tetragonal,-2.758,0.285,0.199,9.902,0,3.669,3.669,3.677,90,90,90,-0.348,O,1.385,1.0577700896
LaBiO3,La,Bi,FALSE,3,3,1.36,1.03,cubic,-1.9,0.693,0,17.183,0,4.413,4.413,4.413,90,90,90,1.98,O,1.385,0.8037300681
LaCaO3,La,Ca,FALSE,not balanced,not balanced,1.36,1,cubic,-2.484,0.663,0.2,14.681,0,4.187,4.187,4.187,90,90,90,-1.704,O,1.385,0.8138398802
LaCdO3,La,Cd,FALSE,not balanced,not balanced,1.36,0.95,orthorhombic,-2.236,0.115,0,14.348,0,5.723,6.093,8.229,90,90,90,-0.184,O,1.385,0.8312668584
LaCeO3,La,Ce,FALSE,3,3,1.36,1.01,cubic,-2.7,0.916,0,18.942,0.687,4.558,4.558,4.558,90,90,90,3.087,O,1.385,0.8104418014
LaCoO3,La,Co,TRUE,3,3,1.36,0.61,orthorhombic,-2.505,-0.022,0.403,11.446,0,5.44,5.454,7.716,90,90,90,2.964,O,1.385,0.9729363982
LaCrO3,La,Cr,TRUE,3,3,1.36,0.62,orthorhombic,-3.168,-0.071,0.6,12.024,2.07,5.506,5.586,7.819,90,90,90,4.845,O,1.385,0.9680838476
LaCsO3,La,Cs,FALSE,not balanced,not balanced,1.36,1.67,tetragonal,-1.739,0.681,0.001,19.328,0,3.878,3.878,6.427,90,90,90,-,O,1.385,0.6353545383
LaCuO3,La,Cu,TRUE,3,3,1.36,0.54,orthorhombic,-2.237,0.027,0,11.38,0,5.414,5.47,7.686,90,90,90,1.357,O,1.385,1.0083159036
LaDyO3,La,Dy,FALSE,3,3,1.36,0.91,cubic,-3.253,0.529,0,15.915,1.85,4.301,4.301,4.301,90,90,90,4.719,O,1.385,0.8457551697
LaErO3,La,Er,TRUE,3,3,1.36,0.89,orthorhombic,-3.776,0.028,0,14.809,4.586,5.832,6.04,8.409,90,90,90,4.912,O,1.385,0.8531903799
LaEuO3,La,Eu,FALSE,3,3,1.36,0.95,cubic,-2.492,0.723,0.137,15.833,0,4.294,4.294,4.294,90,90,90,-1.022,O,1.385,0.8312668584
LaFeO3,La,Fe,TRUE,3,3,1.36,0.65,orthorhombic,-2.755,-0.035,1,12.186,1.092,5.52,5.621,7.855,90,90,90,4.037,O,1.385,0.9538123412
LaGaO3,La,Ga,TRUE,3,3,1.36,0.62,orthorhombic,-2.935,-0.028,0,11.923,3.829,5.512,5.536,7.815,90,90,90,4.934,O,1.385,0.9680838476
LaGdO3,La,Gd,FALSE,3,3,1.36,0.94,cubic,-3.149,0.604,0,16.472,1.561,4.351,4.351,4.351,90,90,90,3.005,O,1.385,0.8348421997
LaGeO3,La,Ge,FALSE,3,3,1.36,0.63,rhombohedral,-2.537,0.295,0,12.882,0,5.623,5.623,5.623,61.1,61.1,61.1,3.222,O,1.385,0.9632794612
LaHfO3,La,Hf,FALSE,2,4,1.36,0.71,orthorhombic,-3.481,0.175,0,13.675,0,5.709,5.898,8.123,90,90,90,5.446,O,1.385,0.92649552
LaHgO3,La,Hg,FALSE,not balanced,not balanced,1.36,1.11,orthorhombic,-1.948,0.09,0,15.065,0,5.73,6.46,8.14,90,90,90,-0.136,O,1.385,0.7779591641
LaHoO3,La,Ho,TRUE,3,3,1.36,0.9,orthorhombic,-3.759,0.034,0,14.973,4.546,5.849,6.063,8.445,90,90,90,4.805,O,1.385,0.8494565052
LaInO3,La,In,TRUE,3,3,1.36,0.8,orthorhombic,-2.773,0.006,0,14.094,3.131,5.721,5.972,8.251,90,90,90,3.397,O,1.385,0.8883332331
LaIrO3,La,Ir,FALSE,3,3,1.36,0.68,orthorhombic,-2.255,0.085,0,12.737,0.809,5.466,5.894,7.908,90,90,90,0.504,O,1.385,0.9399555033
LaKO3,La,K,FALSE,not balanced,not balanced,1.36,1.38,orthorhombic,-1.939,0.498,0.126,19.156,0,6.24,6.312,9.727,90,90,90,-3.241,O,1.385,0.7019920848
La2O3,La,La,FALSE,3,3,1.36,1.03,cubic,-2.825,0.888,0,19.361,0.595,4.592,4.592,4.592,90,90,90,3.112,O,1.385,0.8037300681
LaLiO3,La,Li,FALSE,not balanced,not balanced,1.36,0.76,orthorhombic,-2.263,0.275,0.4,11.446,0.349,5.296,5.689,7.598,90,90,90,-0.623,O,1.385,0.9048988878
LaLuO3,La,Lu,TRUE,3,3,1.36,0.86,rhombohedral,-3.782,0.055,0,14.353,4.557,5.841,5.841,5.841,60.8,60.8,60.8,5.238,O,1.385,0.8645915877
LaMgO3,La,Mg,FALSE,not balanced,not balanced,1.36,0.72,orthorhombic,-2.917,0.126,0.2,12.39,0,5.484,5.767,7.834,90,90,90,-0.448,O,1.385,0.9220941161
LaMnO3,La,Mn,TRUE,3,3,1.36,0.65,orthorhombic,-2.932,0,0.8,12.188,0,5.509,5.663,7.814,90,90,90,3.921,O,1.385,0.9538123412
LaMoO3,La,Mo,FALSE,3,3,1.36,0.69,orthorhombic,-2.681,0.21,0.388,13.065,0,5.543,5.903,7.987,90,90,90,3.435,O,1.385,0.9354255973
LaNaO3,La,Na,FALSE,not balanced,not balanced,1.36,1.02,cubic,-1.717,0.719,0.4,12.973,0,4.018,4.018,4.018,90,90,90,-1.697,O,1.385,0.807071981
LaNbO3,La,Nb,FALSE,1,5,1.36,0.64,orthorhombic,-3.006,0.176,0.039,13.412,0,5.61,5.963,8.018,90,90,90,4.563,O,1.385,0.9585225256
LaNdO3,La,Nd,FALSE,3,3,1.36,0.98,cubic,-2.871,0.796,0,17.976,1.024,4.479,4.479,4.479,90,90,90,3.701,O,1.385,0.8207222471
LaNiO3,La,Ni,TRUE,3,3,1.36,0.6,orthorhombic,-2.376,-0.019,0.215,11.329,0,5.402,5.466,7.674,90,90,90,1.465,O,1.385,0.977837841
LaNpO3,La,Np,FALSE,element not in BV,element not in BV,1.36,0.86,-,-,-,-,-,-,-,-,-,-,-,-,-,O,1.385,0.8645915877
LaOsO3,La,Os,FALSE,element not in BV,element not in BV,1.36,0.57,orthorhombic,-2.209,0.256,0.093,12.602,0,5.345,6.023,7.829,90,90,90,1.597,O,1.385,0.9928430252
LaPaO3,La,Pa,FALSE,element not in BV,element not in BV,1.36,0.91,cubic,-2.671,0.58,0.328,18.064,0,4.487,4.487,4.487,90,90,90,4.276,O,1.385,0.8457551697
LaPbO3,La,Pb,FALSE,2,4,1.36,0.78,cubic,-1.856,0.617,0,16.312,0,4.337,4.337,4.337,90,90,90,1.344,O,1.385,0.8965395447
LaPdO3,La,Pd,FALSE,2,4,1.36,0.62,orthorhombic,-2.195,0.008,-0.001,13.027,0,5.592,5.914,7.879,90,90,90,0.907,O,1.385,0.9680838476
LaPmO3,La,Pm,FALSE,element not in BV,element not in BV,1.36,0.97,cubic,-2.955,0.739,0,17.51,1.205,4.44,4.44,4.44,90,90,90,3.929,O,1.385,0.8242072672
