,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor,A_EN,B_EN,C_EN
57,AcSrO3,Ac,Sr,False,element not in BV,element not in BV,1.12,1.18,cubic,-2.247,0.78,-0.006,17.587,0,4.447,4.447,4.447,90,90,90,-1.505,O,1.385,0.6905662717000001,1.1,0.95,3.44
58,AcTaO3,Ac,Ta,False,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.945,0.159,0,13.765,0,5.615,5.983,8.195,90,90,90,4.844,O,1.385,0.8577736014,1.1,1.5,3.44
59,AcTbO3,Ac,Tb,False,element not in BV,element not in BV,1.12,0.84,orthorhombic,-3.561,0.009,0,16.078,4.382,6.009,6.201,8.63,90,90,90,5.379,O,1.385,0.7960910053,1.1,-,3.44
60,AcTcO3,Ac,Tc,False,element not in BV,element not in BV,1.12,0.6,orthorhombic,-2.487,0.069,0.397,13.358,0,5.652,5.84,8.095,90,90,90,3.73,O,1.385,0.8923438221,1.1,1.9,3.44
61,AcTeO3,Ac,Te,False,element not in BV,element not in BV,1.12,0.77,cubic,-1.817,0.558,0.001,16.423,0,4.346,4.346,4.346,90,90,90,2.116,O,1.385,0.8219501099,1.1,2.1,3.44
62,AcThO3,Ac,Th,False,element not in BV,element not in BV,1.12,0.94,cubic,-3.113,0.622,0.002,19.466,0,4.6,4.6,4.6,90,90,90,3.724,O,1.385,0.7618505320000001,1.1,1.3,3.44
63,AcTiO3,Ac,Ti,False,element not in BV,element not in BV,1.12,0.71,orthorhombic,-3.443,-0.092,0.003,12.8,0,5.647,5.662,8.007,90,90,90,5.944,O,1.385,0.8454904472,1.1,1.54,3.44
64,AcTlO3,Ac,Tl,False,element not in BV,element not in BV,1.12,1.2,orthorhombic,-2.27,-0.012,0,15.973,1.041,5.937,6.296,8.547,90,90,90,1.876,O,1.385,0.6852233992,1.1,1.62,3.44
65,AcTmO3,Ac,Tm,False,element not in BV,element not in BV,1.12,0.96,orthorhombic,-3.772,-0.016,0,15.361,4.565,5.94,6.089,8.494,90,90,90,5.793,O,1.385,0.7553528729000001,1.1,1.25,3.44
66,AcUO3,Ac,U,False,element not in BV,element not in BV,1.12,0.85,cubic,-2.874,0.635,0.525,17.809,0,4.466,4.466,4.466,90,90,90,2.892,O,1.385,0.7925290769,1.1,1.38,3.44
67,AcVO3,Ac,V,False,element not in BV,element not in BV,1.12,0.64,orthorhombic,-3.221,-0.116,0.4,12.873,1.21,5.664,5.684,7.997,90,90,90,4.968,O,1.385,0.8747172775,1.1,1.63,3.44
68,AcWO3,Ac,W,False,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.501,0.268,0.003,13.405,0,5.669,5.86,8.07,90,90,90,3.492,O,1.385,0.8790583061,1.1,2.36,3.44
69,AcYO3,Ac,Y,False,element not in BV,element not in BV,1.12,0.9,orthorhombic,-3.693,0.001,0,15.939,4.608,5.993,6.183,8.603,90,90,90,5.419,O,1.385,0.775187084,1.1,1.22,3.44
70,AcYbO3,Ac,Yb,False,element not in BV,element not in BV,1.12,0.95,orthorhombic,-3.094,0.099,0.2,15.548,0,5.937,6.214,8.429,90,90,90,-0.312,O,1.385,0.7585877888,1.1,-,3.44
71,AcZnO3,Ac,Zn,False,element not in BV,element not in BV,1.12,0.74,orthorhombic,-2.416,0.033,0,12.54,0,5.587,5.662,7.928,90,90,90,0.739,O,1.385,0.8335541115,1.1,1.65,3.44
72,AcZrO3,Ac,Zr,False,element not in BV,element not in BV,1.12,0.72,orthorhombic,-3.365,0.069,-0.001,14.751,0,5.84,6.057,8.34,90,90,90,5.242,O,1.385,0.8414738654999999,1.1,1.33,3.44
73,AgAcO3,Ag,Ac,False,element not in BV,element not in BV,1.28,1.12,orthorhombic,-1.674,0.283,0,15.943,0,6.008,6.225,8.526,90,90,90,-1.294,O,1.385,0.7522712862000001,1.93,1.1,3.44
74,Ag2O3,Ag,Ag,False,not balanced,not balanced,1.28,0.95,cubic,0.351,0.576,-,12.997,0,4.02,4.02,4.02,90,90,90,-2.694,O,1.385,0.8070405019,1.93,1.93,3.44
75,AgAlO3,Ag,Al,False,not balanced,not balanced,1.28,0.54,orthorhombic,-1.51,0.235,-,9.898,0,5.094,5.323,7.3,90,90,90,-1.341,O,1.385,0.9789296476999999,1.93,1.61,3.44
76,AgAsO3,Ag,As,False,1,5,1.28,0.46,tetragonal,-0.815,0.293,-,11.367,0,3.571,3.571,4.458,90,90,90,0.529,O,1.385,1.0213764617,1.93,2.18,3.44
77,AgAuO3,Ag,Au,False,element not in BV,element not in BV,1.28,0.93,cubic,0.286,0.539,-,13.242,0,4.046,4.046,4.046,90,90,90,-1.113,O,1.385,0.814012774,1.93,2.54,3.44
78,AgBO3,Ag,B,False,3,3,0.75,0.27,cubic,-0.35,1.074,-,8.138,0,3.439,3.439,3.439,90,90,90,-2.641,O,1.385,0.9121891105,1.93,2.04,3.44
79,AgBaO3,Ag,Ba,False,not balanced,not balanced,1.28,1.35,orthorhombic,-0.989,0.388,-,15.631,0.247,6.636,6.739,6.99,90,90,90,-6.975,O,1.385,0.6890089842,1.93,0.89,3.44
80,AgBeO3,Ag,Be,False,not balanced,not balanced,1.28,0.45,cubic,-0.616,0.683,-,8.781,0,3.528,3.528,3.528,90,90,90,-3.058,O,1.385,1.026942546,1.93,1.57,3.44
