,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor,A_EN,B_EN,C_EN
2626,NaZnO3,Na,Zn,False,not balanced,not balanced,1.39,0.74,cubic,-0.71,0.576,-,11.393,0,3.848,3.848,3.848,90,90,90,-1.851,O,1.385,0.9233982672,0.93,1.65,3.44
2627,NaZrO3,Na,Zr,False,not balanced,not balanced,1.39,0.72,orthorhombic,-2.59,0.192,0.2,13.283,0,5.659,5.817,8.07,90,90,90,-0.312,O,1.385,0.9321716473999999,0.93,1.33,3.44
2628,NbAcO3,Nb,Ac,False,element not in BV,element not in BV,0.77,1.12,rhombohedral,-2.769,0.268,0,17.012,0.448,6.029,6.029,6.029,64.5,64.5,64.5,-1.015,O,1.385,0.6083094265,1.6,1.1,3.44
2629,NbAgO3,Nb,Ag,False,3,3,0.72,0.75,orthorhombic,-1.87,0.182,0,14.047,1.521,5.571,5.888,8.565,90,90,90,-8.804,O,1.385,0.6971708545,1.6,1.93,3.44
2630,NbAlO3,Nb,Al,False,3,3,0.72,0.54,cubic,-2.135,0.746,0.377,9.661,0,3.642,3.642,3.642,90,90,90,3.221,O,1.385,0.7732258568000001,1.6,1.61,3.44
2631,NbAsO3,Nb,As,False,3,3,0.72,0.58,cubic,-0.668,1.556,0.54,11.909,0,3.905,3.905,3.905,90,90,90,-0.092,O,1.385,0.7574858903,1.6,2.18,3.44
2632,NbAuO3,Nb,Au,False,element not in BV,element not in BV,0.77,0.93,cubic,0.091,2.12,0.446,13.348,0,4.056,4.056,4.056,90,90,90,-8.792,O,1.385,0.6582354702000001,1.6,2.54,3.44
2633,NbBO3,Nb,B,False,5,1,0.74,0.27,cubic,-1.261,1.312,0.281,7.859,0,3.4,3.4,3.4,90,90,90,2.549,O,1.385,0.9079165619,1.6,2.04,3.44
2634,NbBaO3,Nb,Ba,False,not balanced,not balanced,0.77,1.35,orthorhombic,-2.685,0.332,0,17.848,0,5.693,6.538,9.589,90,90,90,-16.578,O,1.385,0.5571536064,1.6,0.89,3.44
2635,NbBeO3,Nb,Be,False,4,2,0.79,0.45,cubic,-1.967,0.851,0.017,7.899,0,3.405,3.405,3.405,90,90,90,1.975,O,1.385,0.8381238415000001,1.6,1.57,3.44
2636,NbBiO3,Nb,Bi,False,1,5,0.79,0.76,cubic,-0.367,1.888,0.598,15.7,0,4.282,4.282,4.282,90,90,90,-8.918,O,1.385,0.7169963865000001,1.6,2.02,3.44
2637,NbCaO3,Nb,Ca,False,not balanced,not balanced,0.77,1.0,rhombohedral,-2.685,0.346,0.2,14.88,0.593,6.078,6.078,6.078,57.3,57.3,57.3,-,O,1.385,0.6389161901,1.6,1,3.44
2638,NbCdO3,Nb,Cd,False,not balanced,not balanced,0.77,0.95,orthorhombic,-1.867,0.385,0.169,12.805,0,5.648,5.876,7.718,90,90,90,-9.563,O,1.385,0.652597479,1.6,1.69,3.44
2639,NbCeO3,Nb,Ce,False,3,3,0.72,1.01,cubic,-0.998,2.09,0.401,18.336,0,4.509,4.509,4.509,90,90,90,-9.862,O,1.385,0.6214863359,1.6,1.12,3.44
2640,NbCoO3,Nb,Co,False,3,3,0.72,0.61,cubic,-1.027,1.247,0.146,9.741,0,3.652,3.652,3.652,90,90,90,0.373,O,1.385,0.746095125,1.6,1.88,3.44
2641,NbCrO3,Nb,Cr,False,3,3,0.72,0.62,orthorhombic,-2.265,0.223,1,10.911,0,5.348,5.687,7.174,90,90,90,0.74,O,1.385,0.7423739523,1.6,1.66,3.44
2642,NbCsO3,Nb,Cs,False,not balanced,not balanced,0.77,1.67,orthorhombic,-2.574,0.102,0,21.793,3.412,6.001,6.281,11.563,90,90,90,-,O,1.385,0.49879381780000004,1.6,0.79,3.44
2643,NbCuO3,Nb,Cu,False,3,3,0.72,0.54,rhombohedral,-2.069,0.118,0,12.309,1.077,5.03,5.226,5.754,77.3,109,68.7,-1.211,O,1.385,0.7732258568000001,1.6,1.9,3.44
2644,NbDyO3,Nb,Dy,False,3,3,0.72,0.91,cubic,-1.537,1.678,0.4,15.344,0,4.249,4.249,4.249,90,90,90,-,O,1.385,0.6485663505,1.6,1.22,3.44
2645,NbErO3,Nb,Er,False,3,3,0.72,0.89,cubic,-1.634,1.598,0.4,14.812,0,4.2,4.2,4.2,90,90,90,-5.748,O,1.385,0.6542680327,1.6,1.24,3.44
2646,NbEuO3,Nb,Eu,False,3,3,0.72,0.95,orthorhombic,-2.865,0.346,-0.003,14.096,0,5.68,6.069,8.177,90,90,90,-12.689,O,1.385,0.6374560062,1.6,-,3.44
2647,NbFeO3,Nb,Fe,False,3,3,0.72,0.65,cubic,-1.065,1.278,1.371,10.916,0,3.793,3.793,3.793,90,90,90,-0.263,O,1.385,0.7314298645999999,1.6,1.83,3.44
2648,NbGaO3,Nb,Ga,False,3,3,0.72,0.62,orthorhombic,-1.916,0.429,0.4,10.56,0,5.317,5.486,7.241,90,90,90,-0.13,O,1.385,0.7423739523,1.6,1.81,3.44
2649,NbGdO3,Nb,Gd,False,3,3,0.72,0.94,cubic,-1.426,1.767,0.401,15.942,0,4.304,4.304,4.304,90,90,90,-7.275,O,1.385,0.6401977524,1.6,1.2,3.44
2650,NbGeO3,Nb,Ge,False,2,4,0.79,0.53,cubic,-1.053,1.213,0.557,10.89,0,3.79,3.79,3.79,90,90,90,1.286,O,1.385,0.803110835,1.6,2.01,3.44
2651,NbHfO3,Nb,Hf,False,2,4,0.79,0.71,cubic,-2.125,1.041,0.6,13.363,0,4.058,4.058,4.058,90,90,90,-0.26,O,1.385,0.7341084721,1.6,1.3,3.44
2652,NbHgO3,Nb,Hg,False,not balanced,not balanced,0.77,1.11,orthorhombic,-1.753,0.324,0,16.402,0,5.568,6.263,9.406,90,90,90,-10.886,O,1.385,0.6107475405,1.6,2,3.44
2653,NbHoO3,Nb,Ho,False,3,3,0.72,0.9,cubic,-1.587,1.637,0.4,15.056,0,4.222,4.222,4.222,90,90,90,-6.107,O,1.385,0.6514047153,1.6,1.23,3.44
2654,NbInO3,Nb,In,False,3,3,0.72,0.8,orthorhombic,-1.781,0.52,0.362,12.555,0,5.641,5.915,7.525,90,90,90,-5.317,O,1.385,0.6812172881,1.6,1.78,3.44
2655,NbIrO3,Nb,Ir,False,2,4,0.79,0.63,cubic,-0.359,1.782,0.375,11.999,0,3.915,3.915,3.915,90,90,90,-3.832,O,1.385,0.7632542179,1.6,2.2,3.44
2656,NbKO3,Nb,K,False,not balanced,not balanced,0.77,1.38,rhombohedral,-2.079,0.618,0,17.934,2.177,6.353,6.353,6.353,59.5,59.5,59.5,-19.044,O,1.385,0.5511085401,1.6,0.82,3.44
2657,NbLaO3,Nb,La,False,3,3,0.72,1.03,rhombohedral,-2.776,0.406,0,15.771,0.398,5.843,5.843,5.843,65.4,65.4,65.4,-9.466,O,1.385,0.6163394511,1.6,1.1,3.44
2658,NbLiO3,Nb,Li,False,5,1,0.74,0.76,orthorhombic,-2.634,0.103,0,9.588,2.594,4.772,5.139,7.819,90,90,90,-2.884,O,1.385,0.7005137109999999,1.6,0.98,3.44
2659,NbLuO3,Nb,Lu,False,3,3,0.72,0.86,cubic,-1.776,1.48,0.4,14.095,0,4.131,4.131,4.131,90,90,90,-4.611,O,1.385,0.6630110354,1.6,1.27,3.44
2660,NbMgO3,Nb,Mg,False,not balanced,not balanced,0.77,0.72,cubic,-1.578,1.274,0.165,10.041,0,3.689,3.689,3.689,90,90,90,-2.489,O,1.385,0.7239026667,1.6,1.31,3.44
2661,NbMnO3,Nb,Mn,False,3,3,0.72,0.65,cubic,-1.285,1.223,1.196,10.92,0,3.794,3.794,3.794,90,90,90,-1.475,O,1.385,0.7314298645999999,1.6,1.55,3.44
2662,NbMoO3,Nb,Mo,False,2,4,0.79,0.65,cubic,-1.169,1.136,0.561,12.128,0,3.929,3.929,3.929,90,90,90,0.994,O,1.385,0.7557529479999999,1.6,2.16,3.44
2663,NbNaO3,Nb,Na,False,not balanced,not balanced,0.77,1.02,orthorhombic,-2.492,0.214,0,13.091,2.601,5.522,5.708,8.307,90,90,90,-10.647,O,1.385,0.6336029578,1.6,0.93,3.44
2664,Nb2O3,Nb,Nb,False,3,3,0.72,0.72,cubic,-1.569,0.924,0.609,12.867,0,4.007,4.007,4.007,90,90,90,2.484,O,1.385,0.7071067812,1.6,1.6,3.44
2665,NbNdO3,Nb,Nd,False,3,3,0.72,0.98,cubic,-1.15,1.975,0.399,17.42,0,4.433,4.433,4.433,90,90,90,-9.017,O,1.385,0.6293698835,1.6,1.14,3.44
2666,NbNiO3,Nb,Ni,False,3,3,0.72,0.6,cubic,-0.956,1.307,0.56,9.814,0,3.661,3.661,3.661,90,90,90,-0.477,O,1.385,0.7498537906,1.6,1.91,3.44
2667,NbNpO3,Nb,Np,False,element not in BV,element not in BV,0.77,0.86,-,-,-,-,-,-,-,-,-,-,-,-,-,O,1.385,0.678759516,1.6,1.36,3.44
2668,NbOsO3,Nb,Os,False,element not in BV,element not in BV,0.77,0.57,cubic,-0.491,1.666,0.306,11.861,0,3.9,3.9,3.9,90,90,90,-1.774,O,1.385,0.7794450708,1.6,2.2,3.44
2669,NbPaO3,Nb,Pa,False,element not in BV,element not in BV,0.77,0.91,cubic,-1.584,1.138,0.8,16.702,0,4.371,4.371,4.371,90,90,90,3.096,O,1.385,0.6639717270000001,1.6,1.5,3.44
2670,NbPbO3,Nb,Pb,False,2,4,0.79,0.78,rhombohedral,-1.811,0.489,0,15.75,0,5.732,5.732,5.732,68.7,68.7,68.7,-9.306,O,1.385,0.7103728632999999,1.6,2.33,3.44
2671,NbPdO3,Nb,Pd,False,2,4,0.79,0.62,cubic,-0.342,1.77,0.37,12.1,0,3.926,3.926,3.926,90,90,90,-1.843,O,1.385,0.7670609720999999,1.6,2.2,3.44
2672,NbPmO3,Nb,Pm,False,element not in BV,element not in BV,0.77,0.97,cubic,-1.231,1.854,0.394,16.983,0,4.395,4.395,4.395,90,90,90,-8.55,O,1.385,0.6470552499000001,1.6,-,3.44
2673,NbPrO3,Nb,Pr,False,2,4,0.79,0.85,cubic,-1.079,2.028,0.401,17.844,0,4.468,4.468,4.468,90,90,90,-9.427,O,1.385,0.6881240488,1.6,1.13,3.44
2674,NbPtO3,Nb,Pt,False,element not in BV,element not in BV,0.77,0.67,cubic,-0.206,1.895,0.421,12.579,0,3.977,3.977,3.977,90,90,90,-4.786,O,1.385,0.7415158703,1.6,2.28,3.44
2675,NbPuO3,Nb,Pu,False,element not in BV,element not in BV,0.77,0.83,orthorhombic,-2.728,0.335,1.02,13.794,0,5.638,6.268,7.808,90,90,90,-,O,1.385,0.6879526471999999,1.6,1.28,3.44
2676,NbRbO3,Nb,Rb,False,not balanced,not balanced,0.77,1.52,orthorhombic,-2.538,0.136,0,19.351,3.347,6.027,6.083,10.556,90,90,90,-21.272,O,1.385,0.5245490924,1.6,0.82,3.44
2677,NbReO3,Nb,Re,False,2,4,0.79,0.63,cubic,-0.797,1.442,0.536,12.003,0,3.915,3.915,3.915,90,90,90,-0.749,O,1.385,0.7632542179,1.6,1.9,3.44
2678,NbRhO3,Nb,Rh,False,3,3,0.72,0.67,cubic,-0.531,1.607,0.331,11.728,0,3.885,3.885,3.885,90,90,90,-1.377,O,1.385,0.7243113256999999,1.6,2.28,3.44
2679,NbRuO3,Nb,Ru,False,2,4,0.79,0.62,cubic,-0.644,1.528,0.231,11.627,0,3.874,3.874,3.874,90,90,90,-1.403,O,1.385,0.7670609720999999,1.6,2.2,3.44
2680,NbSbO3,Nb,Sb,False,3,3,0.72,0.76,cubic,-0.672,1.584,0.647,13.717,0,4.093,4.093,4.093,90,90,90,0.34,O,1.385,0.6939206406999999,1.6,2.05,3.44
2681,NbScO3,Nb,Sc,False,3,3,0.72,0.75,cubic,-1.948,1.21,0.4,12.386,0,3.956,3.956,3.956,90,90,90,-2.429,O,1.385,0.6971708545,1.6,1.36,3.44
2682,NbSiO3,Nb,Si,False,2,4,0.79,0.4,cubic,-1.605,1.101,0.561,9.385,0,3.607,3.607,3.607,90,90,90,2.974,O,1.385,0.8616006998000001,1.6,1.9,3.44
2683,NbSmO3,Nb,Sm,False,3,3,0.72,0.96,cubic,-1.28,1.877,0.399,16.675,0,4.369,4.369,4.369,90,90,90,-8.22,O,1.385,0.6347376437,1.6,1.17,3.44
2684,NbSnO3,Nb,Sn,False,2,4,0.79,0.69,orthorhombic,-1.961,0.355,0,12.934,0,5.735,6.622,6.811,90,90,90,1.467,O,1.385,0.7411842164,1.6,1.96,3.44
2685,NbSrO3,Nb,Sr,False,not balanced,not balanced,0.77,1.18,orthorhombic,-2.703,0.318,0,15.624,0,5.672,6.217,8.862,90,90,90,-14.053,O,1.385,0.5940799663,1.6,0.95,3.44
2686,NbTaO3,Nb,Ta,False,2,4,0.79,0.68,cubic,-1.727,0.895,0.643,12.692,0,3.989,3.989,3.989,90,90,90,2.888,O,1.385,0.7447734862000001,1.6,1.5,3.44
2687,NbTbO3,Nb,Tb,False,2,4,0.79,0.76,cubic,-1.352,1.721,0.401,15.634,0,4.276,4.276,4.276,90,90,90,-6.862,O,1.385,0.7169963865000001,1.6,-,3.44
2688,NbTcO3,Nb,Tc,False,element not in BV,element not in BV,0.77,0.6,cubic,-0.871,1.367,0.416,11.765,0,3.889,3.889,3.889,90,90,90,-0.583,O,1.385,0.7676650446,1.6,1.9,3.44
2689,NbTeO3,Nb,Te,False,2,4,0.79,0.97,cubic,-0.39,1.791,0.622,14.536,0,4.173,4.173,4.173,90,90,90,-3.04,O,1.385,0.653060403,1.6,2.1,3.44
2690,NbThO3,Nb,Th,False,2,4,0.79,0.94,cubic,-1.781,1.623,0.6,18.639,0,4.534,4.534,4.534,90,90,90,-4.59,O,1.385,0.6614869889,1.6,1.3,3.44
2691,NbTiO3,Nb,Ti,False,2,4,0.79,0.61,cubic,-1.98,0.877,0.526,11.393,0,3.848,3.848,3.848,90,90,90,1.931,O,1.385,0.7709058893,1.6,1.54,3.44
2692,NbTlO3,Nb,Tl,False,3,3,0.72,0.89,rhombohedral,-1.642,0.646,0,15.555,0.293,5.662,5.662,5.662,70.2,70.2,70.2,-9.673,O,1.385,0.6542680327,1.6,1.62,3.44
2693,NbTmO3,Nb,Tm,False,3,3,0.72,0.88,cubic,-1.694,1.553,0.4,14.535,0,4.173,4.173,4.173,90,90,90,-5.3,O,1.385,0.6571566333,1.6,1.25,3.44
2694,NbUO3,Nb,U,False,2,4,0.79,0.89,cubic,-1.791,1.362,1,16.166,0,4.324,4.324,4.324,90,90,90,3.006,O,1.385,0.6760251643999999,1.6,1.38,3.44
2695,NbVO3,Nb,V,False,2,4,0.79,0.58,cubic,-1.581,0.981,0.8,11.034,0,3.807,3.807,3.807,90,90,90,1.403,O,1.385,0.7826754448000001,1.6,1.63,3.44
2696,NbWO3,Nb,W,False,2,4,0.79,0.66,cubic,-1.186,1.123,0.609,12.214,0,3.938,3.938,3.938,90,90,90,1.156,O,1.385,0.7520573345,1.6,2.36,3.44
2697,NbYO3,Nb,Y,False,3,3,0.72,0.9,cubic,-1.512,1.68,0.399,15.346,0,4.249,4.249,4.249,90,90,90,-6.49,O,1.385,0.6514047153,1.6,1.22,3.44
2698,NbYbO3,Nb,Yb,False,3,3,0.72,0.87,orthorhombic,-2.874,0.283,0.197,12.862,0,5.65,5.796,7.855,90,90,90,-10.296,O,1.385,0.6600708534,1.6,-,3.44
2699,NbZnO3,Nb,Zn,False,not balanced,not balanced,0.77,0.74,cubic,-0.866,1.458,0.29,10.77,0,3.776,3.776,3.776,90,90,90,-4.159,O,1.385,0.7170894651999999,1.6,1.65,3.44
2700,NbZrO3,Nb,Zr,False,2,4,0.79,0.72,cubic,-1.931,1.11,0.6,13.905,0,4.112,4.112,4.112,90,90,90,-1.584,O,1.385,0.7306210209,1.6,1.33,3.44
2701,NdAcO3,Nd,Ac,False,element not in BV,element not in BV,1.27,1.12,cubic,-2.374,1.226,0,20.452,0,4.676,4.676,4.676,90,90,90,1.695,O,1.385,0.7494485045999999,1.14,1.1,3.44
2702,NdAgO3,Nd,Ag,False,3,3,1.27,0.75,orthorhombic,-1.903,0.076,0,13.295,0,5.569,5.992,7.969,90,90,90,0.039,O,1.385,0.8793295101,1.14,1.93,3.44
2703,NdAlO3,Nd,Al,True,3,3,1.27,0.54,rhombohedral,-3.513,-0.03,0,10.645,4.598,5.297,5.297,5.297,60.6,60.6,60.6,6.454,O,1.385,0.9752563657,1.14,1.61,3.44
2704,NdAsO3,Nd,As,False,3,3,1.27,0.58,cubic,-2.055,0.563,0,13.12,0,4.033,4.033,4.033,90,90,90,2.687,O,1.385,0.9554038189,1.14,2.18,3.44
2705,NdAuO3,Nd,Au,False,element not in BV,element not in BV,1.27,0.93,orthorhombic,-1.943,0.082,0,13.675,0.853,5.682,6.525,7.377,90,90,90,-0.053,O,1.385,0.8109583170999999,1.14,2.54,3.44
2706,NdBO3,Nd,B,False,not balanced,not balanced,1.27,0.27,cubic,-2.431,0.867,0,8.909,2.497,3.545,3.545,3.545,90,90,90,5.021,O,1.385,1.1343616339,1.14,2.04,3.44
2707,NdBaO3,Nd,Ba,False,not balanced,not balanced,1.27,1.35,orthorhombic,-2.701,0.287,0.112,19.582,0,6.118,6.118,10.463,90,90,90,-5.358,O,1.385,0.6864235847,1.14,0.89,3.44
2708,NdBeO3,Nd,Be,False,not balanced,not balanced,1.27,0.45,cubic,-2.709,0.351,0.2,9.542,0,3.627,3.627,3.627,90,90,90,-0.443,O,1.385,1.023089103,1.14,1.57,3.44
2709,NdBiO3,Nd,Bi,False,3,3,1.27,1.03,cubic,-1.711,0.836,0,16.618,0,4.364,4.364,4.364,90,90,90,1.33,O,1.385,0.7773782625,1.14,2.02,3.44
2710,NdCaO3,Nd,Ca,False,not balanced,not balanced,1.27,1.0,cubic,-2.323,0.829,0.2,14.231,0,4.144,4.144,4.144,90,90,90,-2.032,O,1.385,0.7871566055,1.14,1,3.44
2711,NdCdO3,Nd,Cd,False,not balanced,not balanced,1.27,0.95,cubic,-1.764,0.604,-0.001,13.994,0,4.121,4.121,4.121,90,90,90,-0.394,O,1.385,0.8040122073,1.14,1.69,3.44
2712,NdCeO3,Nd,Ce,False,2,4,1.35,0.87,cubic,-2.517,1.054,0,18.828,0.73,4.549,4.549,4.549,90,90,90,2.475,O,1.385,0.8576217501000001,1.14,1.12,3.44
2713,NdCoO3,Nd,Co,True,3,3,1.27,0.61,orthorhombic,-2.456,0.002,0.4,11.251,0,5.348,5.485,7.671,90,90,90,3.124,O,1.385,0.9410368441,1.14,1.88,3.44
2714,NdCrO3,Nd,Cr,True,3,3,1.27,0.62,orthorhombic,-3.122,-0.071,0.6,11.777,2.29,5.426,5.602,7.748,90,90,90,4.678,O,1.385,0.9363433935,1.14,1.66,3.44
2715,NdCsO3,Nd,Cs,False,not balanced,not balanced,1.27,1.67,-,-,-,-,-,-,-,-,-,-,-,-,-,O,1.385,0.6145232419,1.14,0.79,3.44
2716,NdCuO3,Nd,Cu,False,3,3,1.27,0.54,orthorhombic,-2.185,0.074,0,11.2,0,5.373,5.466,7.627,90,90,90,1.235,O,1.385,0.9752563657,1.14,1.9,3.44
2717,NdDyO3,Nd,Dy,False,3,3,1.27,0.91,cubic,-3.089,0.646,0,15.73,1.704,4.285,4.285,4.285,90,90,90,4.401,O,1.385,0.8180254920000001,1.14,1.22,3.44
2718,NdErO3,Nd,Er,False,3,3,1.27,0.89,cubic,-3.182,0.576,0,15.243,1.892,4.24,4.24,4.24,90,90,90,4.639,O,1.385,0.8252169249,1.14,1.24,3.44
2719,NdEuO3,Nd,Eu,False,3,3,1.27,0.95,cubic,-2.325,0.907,0.131,15.669,0,4.279,4.279,4.279,90,90,90,-1.378,O,1.385,0.8040122073,1.14,-,3.44
2720,NdFeO3,Nd,Fe,True,3,3,1.27,0.65,orthorhombic,-2.706,-0.036,1,11.914,1.081,5.431,5.648,7.769,90,90,90,3.83,O,1.385,0.9225398054,1.14,1.83,3.44
2721,NdGaO3,Nd,Ga,True,3,3,1.27,0.62,orthorhombic,-2.891,0.001,0,11.664,3.895,5.426,5.556,7.738,90,90,90,4.861,O,1.385,0.9363433935,1.14,1.81,3.44
2722,NdGdO3,Nd,Gd,False,3,3,1.27,0.94,cubic,-2.98,0.726,0,16.298,1.412,4.335,4.335,4.335,90,90,90,4.071,O,1.385,0.8074703243000001,1.14,1.2,3.44
2723,NdGeO3,Nd,Ge,False,2,4,1.35,0.53,orthorhombic,-2.51,0.208,0,12.733,0,5.5,5.835,7.935,90,90,90,3.182,O,1.385,1.0098887972,1.14,2.01,3.44
2724,NdHfO3,Nd,Hf,False,2,4,1.35,0.71,orthorhombic,-3.386,0.152,0.009,13.366,0,5.628,5.94,7.996,90,90,90,5.015,O,1.385,0.9231203085999999,1.14,1.3,3.44
2725,NdHgO3,Nd,Hg,False,not balanced,not balanced,1.27,1.11,cubic,-1.361,0.694,-0.001,14.94,0,4.212,4.212,4.212,90,90,90,-0.37,O,1.385,0.7524523062,1.14,2,3.44
2726,NdHoO3,Nd,Ho,False,3,3,1.27,0.9,cubic,-3.137,0.61,0,15.48,1.702,4.262,4.262,4.262,90,90,90,4.513,O,1.385,0.8216054722,1.14,1.23,3.44
2727,NdInO3,Nd,In,True,3,3,1.27,0.8,orthorhombic,-2.72,0.013,0,13.73,2.935,5.643,5.947,8.183,90,90,90,3.394,O,1.385,0.8592075533,1.14,1.78,3.44
2728,NdIrO3,Nd,Ir,False,2,4,1.35,0.63,orthorhombic,-2.202,0.087,0,12.385,0.905,5.368,5.918,7.797,90,90,90,-0.008,O,1.385,0.9597702464,1.14,2.2,3.44
2729,NdKO3,Nd,K,False,not balanced,not balanced,1.27,1.38,orthorhombic,-1.943,0.445,0.4,19.02,0,6.166,6.251,9.869,90,90,90,-3.388,O,1.385,0.6789759508,1.14,0.82,3.44
2730,NdLaO3,Nd,La,False,3,3,1.27,1.03,cubic,-2.638,1.028,0,18.563,0.693,4.528,4.528,4.528,90,90,90,2.384,O,1.385,0.7773782625,1.14,1.1,3.44
2731,NdLiO3,Nd,Li,False,not balanced,not balanced,1.27,0.76,orthorhombic,-2.215,0.306,0.4,11.164,0,5.131,5.813,7.487,90,90,90,-0.755,O,1.385,0.8752300718000001,1.14,0.98,3.44
2732,NdLuO3,Nd,Lu,False,3,3,1.27,0.86,orthorhombic,-3.769,0.022,0,14.002,5.041,5.699,5.95,8.258,90,90,90,4.963,O,1.385,0.8362443225,1.14,1.27,3.44
2733,NdMgO3,Nd,Mg,False,not balanced,not balanced,1.27,0.72,orthorhombic,-2.857,0.194,0.2,12.04,0,5.383,5.771,7.751,90,90,90,-0.68,O,1.385,0.8918615220999999,1.14,1.31,3.44
2734,NdMnO3,Nd,Mn,True,3,3,1.27,0.65,orthorhombic,-2.885,0.001,0.8,11.967,0,5.428,5.715,7.716,90,90,90,3.843,O,1.385,0.9225398054,1.14,1.55,3.44
2735,NdMoO3,Nd,Mo,False,2,4,1.35,0.65,orthorhombic,-2.612,0.212,0.575,12.936,0,5.511,5.905,7.95,90,90,90,2.722,O,1.385,0.950337615,1.14,2.16,3.44
2736,NdNaO3,Nd,Na,False,not balanced,not balanced,1.27,1.02,cubic,-1.581,0.826,0.4,12.612,0,3.98,3.98,3.98,90,90,90,-1.997,O,1.385,0.7806106046,1.14,0.93,3.44
2737,NdNbO3,Nd,Nb,False,2,4,1.35,0.68,orthorhombic,-2.928,0.197,0,13.023,0,5.513,6.022,7.845,90,90,90,3.94,O,1.385,0.9365312574,1.14,1.6,3.44
2738,Nd2O3,Nd,Nd,False,3,3,1.27,0.98,cubic,-2.692,0.928,0,17.831,0.935,4.467,4.467,4.467,90,90,90,3.107,O,1.385,0.7938133209999999,1.14,1.14,3.44
2739,NdNiO3,Nd,Ni,True,3,3,1.27,0.6,orthorhombic,-2.328,0.042,0.2,11.089,0,5.37,5.42,7.62,90,90,90,1.425,O,1.385,0.9457775839,1.14,1.91,3.44
2740,NdNpO3,Nd,Np,False,element not in BV,element not in BV,1.27,0.86,cubic,-2.752,0.798,0.792,17.182,0,4.412,4.412,4.412,90,90,90,3.451,O,1.385,0.8362443225,1.14,1.36,3.44
2741,NdOsO3,Nd,Os,False,element not in BV,element not in BV,1.27,0.57,cubic,-1.83,0.551,0.002,12.488,0,3.967,3.967,3.967,90,90,90,1.019,O,1.385,0.9602907948999999,1.14,2.2,3.44
2742,NdPaO3,Nd,Pa,False,element not in BV,element not in BV,1.27,0.91,cubic,-2.533,0.672,0.303,17.909,0,4.474,4.474,4.474,90,90,90,3.571,O,1.385,0.8180254920000001,1.14,1.5,3.44
2743,NdPbO3,Nd,Pb,False,2,4,1.35,0.78,cubic,-1.614,0.816,0,14.677,0,4.187,4.187,4.187,90,90,90,-,O,1.385,0.8932734626000001,1.14,2.33,3.44
2744,NdPdO3,Nd,Pd,False,2,4,1.35,0.62,orthorhombic,-2.142,0.047,0.001,12.681,0,5.517,5.951,7.726,90,90,90,0.583,O,1.385,0.9645571304,1.14,2.2,3.44
2745,NdPmO3,Nd,Pm,False,element not in BV,element not in BV,1.27,0.97,cubic,-2.78,0.869,0,17.36,1.128,4.428,4.428,4.428,90,90,90,3.35,O,1.385,0.7971840781999999,1.14,-,3.44
2746,NdPrO3,Nd,Pr,False,2,4,1.35,0.85,cubic,-2.611,0.987,0,18.292,0.745,4.505,4.505,4.505,90,90,90,2.807,O,1.385,0.8652962177,1.14,1.13,3.44
2747,NdPtO3,Nd,Pt,False,element not in BV,element not in BV,1.27,0.67,cubic,-1.708,0.537,0,13.203,0,4.042,4.042,4.042,90,90,90,0.171,O,1.385,0.9135613158,1.14,2.28,3.44
2748,NdPuO3,Nd,Pu,False,element not in BV,element not in BV,1.27,0.83,cubic,-2.796,0.831,0.93,16.916,0,4.39,4.39,4.39,90,90,90,2.71,O,1.385,0.8475704306999999,1.14,1.28,3.44
2749,NdRbO3,Nd,Rb,False,not balanced,not balanced,1.27,1.52,cubic,-0.738,1.64,-0.005,16.527,0,4.356,4.356,4.356,90,90,90,-2.81,O,1.385,0.6462542183,1.14,0.82,3.44
2750,NdReO3,Nd,Re,False,3,3,1.27,0.63,cubic,-2.042,0.546,0.173,12.558,0,3.975,3.975,3.975,90,90,90,1.361,O,1.385,0.9316965281,1.14,1.9,3.44
2751,NdRhO3,Nd,Rh,True,2,4,1.35,0.6,orthorhombic,-2.336,-0.059,0,12.251,0.729,5.385,5.839,7.793,90,90,90,0.681,O,1.385,0.9742755902,1.14,2.28,3.44
2752,NdRuO3,Nd,Ru,False,2,4,1.35,0.62,orthorhombic,-2.339,0.041,0.198,12.234,0,5.347,5.888,7.772,90,90,90,1.544,O,1.385,0.9645571304,1.14,2.2,3.44
2753,NdSbO3,Nd,Sb,False,3,3,1.27,0.76,cubic,-1.914,0.764,0,15.219,0,4.238,4.238,4.238,90,90,90,1.8,O,1.385,0.8752300718000001,1.14,2.05,3.44
2754,NdScO3,Nd,Sc,True,3,3,1.27,0.75,orthorhombic,-3.736,-0.022,0,12.923,4.473,5.565,5.802,8.004,90,90,90,5.348,O,1.385,0.8793295101,1.14,1.36,3.44
2755,NdSiO3,Nd,Si,False,3,3,1.27,0.4,cubic,-2.679,0.614,0.001,10.671,0,3.765,3.765,3.765,90,90,90,4.689,O,1.385,1.0517470611,1.14,1.9,3.44
