,Radius A [ang],Radius B [ang],Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],a [ang],b [ang],c [ang],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,A rp,A rd,B rp,B rd,B EA,B p total,B d total,B f total,A g,A p,B g
Vacancy energy [eV/O atom],0.483043735600176,-0.6148464737032935,-0.35261595676400753,-0.03991841105255309,0.02621677070017454,-0.324554638140036,-0.374301615364007,-0.3864507634918188,-0.3506994999539306,0.16250778412919595,1.0,-0.6148464737026234,0.6799898418270487,-0.3820035619199216,0.41076270119203145,-0.46064021753055856,0.47468136157053603,0.11267158925778688,0.13605363879680327,-0.4611624825904473,-0.3670717928103055,0.1447422976604611,-0.1339975458684751,-0.06348899589872371,0.07924238815131657,-0.07043718456197944,0.2544028365988332,0.2895688389171517
Octahedral Factor,-0.22688949814278103,0.9999999999999957,0.20450906755666884,0.08356018944790866,-0.08426373407978081,0.7869615690071661,0.4283004614107114,0.4472152832085208,0.4218408345784369,-0.052475023603670255,-0.6148464737026234,1.0,-0.7519451287253657,0.15979192348474874,-0.7269298375000643,0.2223975468618627,-0.7251142145087375,-0.03597521582514997,-0.06956151683483514,0.8307683114108299,0.5484416784051978,-0.23805369243979513,0.4337633462744371,0.2823623299303067,0.0582686434294137,0.002628038577310457,-0.04712588084209398,-0.44558088274759217
Tolerance Factor,0.7982259737950802,-0.751945128724784,-0.23496920909581218,-0.1713916958920292,-0.056687944174350996,-0.4528993072022961,-0.30107779598513995,-0.3179088106925088,-0.2867611637728764,0.1833084893550868,0.6799898418270487,-0.7519451287253657,1.0,-0.43767942958728756,0.5570647137676505,-0.50338072287758,0.584333500403665,0.3816442093391552,0.3507613950182946,-0.5672593978242396,-0.39059379944441386,0.22698974082414516,-0.32618033676340086,-0.2151874304659631,-0.0564450639401333,-0.14074111823272842,0.3381228295210827,0.31143547396257776
A Ionization Energy,-0.5301802789435581,0.15979192349181345,0.4852447888538185,-0.007151008115679526,0.13739728559650222,-0.03907580412570985,0.11797309989762224,0.1244134462561272,0.12128339523476148,-0.2384213079819973,-0.3820035619199216,0.15979192348474874,-0.43767942958728756,1.0,-0.10095412003776881,0.7958013370455294,-0.14109929380894531,-0.42426928820738447,-0.3152644300981577,0.13539673035113964,0.10137622306977463,-0.08406135591136951,0.002620573216433667,-0.022556910963434436,-0.03139578694575387,0.34340535063949706,-0.30067449611181907,-0.14363632491573147
B Ionization Energy,0.1714395302550269,-0.726929837498033,0.03681234691761579,-0.124534743715257,0.06329383153699661,-0.609554613362583,-0.2568500013467703,-0.24509588993627013,-0.23574396777492565,0.06548831865175873,0.41076270119203145,-0.7269298375000643,0.5570647137676505,-0.10095412003776881,1.0,-0.1539331119208677,0.8269607789993504,0.04722083017471209,0.0907796193568563,-0.6613607847194961,-0.3676450870408855,0.3990434711522122,-0.2980704248280982,-0.10805045972663872,0.008811175967101856,-0.031666728849868556,0.08045643584281452,0.4301501533388007
A Electronegativity,-0.5708908131109252,0.2223975468647653,0.5434591065287687,-0.022810562377635537,0.11482092322424642,0.05348950704735982,0.16421916391386399,0.17020850873024998,0.1600801984405902,-0.2953044949692912,-0.46064021753055856,0.2223975468618627,-0.50338072287758,0.7958013370455294,-0.1539331119208677,1.0,-0.183210982027966,-0.4641305587516094,-0.3749358331661507,0.18042689245101529,0.12489491122617223,-0.11848556793043055,0.02819499219528774,0.00027462227929641605,-0.01720820999991586,0.493382454557867,-0.22140886295176973,-0.16849529001130015
B Electronegativity,0.20789986794422874,-0.7251142145147983,0.11738110192925261,-0.21999729648688932,0.03775536757520102,-0.5767600150970511,-0.2022432012427484,-0.1792347593665935,-0.16334816640407873,0.07187851187679284,0.47468136157053603,-0.7251142145087375,0.584333500403665,-0.14109929380894531,0.8269607789993504,-0.183210982027966,1.0,0.047768977742430094,0.08781780689513258,-0.6992627097235159,-0.4916471444864576,0.46554224009719547,-0.24384363650240365,-0.004043673025629214,0.03615528162645082,-0.011283647712354707,0.09678213738900186,0.5766045106594411
A rp,0.5357969674800698,-0.03597521582118192,-0.1998489257088907,-0.06412242275124973,-0.05073723756358935,0.16827922185852454,0.08169384541916823,0.031141829115197157,-0.05312978893342573,0.02387972991880098,0.11267158925778688,-0.03597521582514997,0.3816442093391552,-0.42426928820738447,0.04722083017471209,-0.4641305587516094,0.047768977742430094,1.0,0.5488825826500948,-0.006042708388827887,-0.034390717381066666,0.021249250958013804,0.005359491271570622,0.018207090565852433,0.04886695677791555,-0.5159622372140333,0.33335133806037837,-0.013872652304527736
A rd,0.45919325988707405,-0.0695615168333826,-0.1996056386652415,0.001749403149282247,-0.21281868994822759,0.11473680710386144,-0.03437524873017768,-0.05625720445128905,-0.09441441599842418,0.09218506225378233,0.13605363879680327,-0.06956151683483514,0.3507613950182946,-0.3152644300981577,0.0907796193568563,-0.3749358331661507,0.08781780689513258,0.5488825826500948,1.0,-0.04445749172152122,-0.03800387328137156,0.04114595120786523,-0.06400247325455218,-0.041824643573895634,-0.008643587666217842,-0.3432505143373419,0.3828289377268123,0.026490149329656598
B rp,-0.10873291319932071,0.8307683114057295,0.11294974603931304,-0.02797868704905795,-0.04547779539259905,0.6812258507101215,0.3852909678088995,0.4054328386892444,0.39186485217454753,-0.054388350564040365,-0.4611624825904473,0.8307683114108299,-0.5672593978242396,0.13539673035113964,-0.6613607847194961,0.18042689245101529,-0.6992627097235159,-0.006042708388827887,-0.04445749172152122,1.0,0.4757284320254676,-0.21580626682167345,0.33222451331509867,0.09868957432142958,-0.03619420742435858,0.010204859027601371,-0.05443344160101296,-0.6247142364512139
B rd,-0.10507941842207248,0.5484416783983679,0.03578463069196401,0.14043361757651202,-0.15976935966113753,0.5005869043377552,0.237663166258977,0.21496929843869725,0.11955555550984316,-0.07922537366322023,-0.3670717928103055,0.5484416784051978,-0.39059379944441386,0.10137622306977463,-0.3676450870408855,0.12489491122617223,-0.4916471444864576,-0.034390717381066666,-0.03800387328137156,0.4757284320254676,1.0,-0.20671289709883126,0.35986660748783966,0.30243479605298734,0.07101164932937556,-0.03455894365245909,-0.10076111662045253,-0.347575467845254
B EA,0.1284908429131836,-0.23805369242811625,0.18992911935571777,-0.06368771212903175,-0.04952119822386385,-0.1417639035160488,-0.0695782713293966,-0.027011001033465674,-0.03876820406347745,0.03699359444563459,0.1447422976604611,-0.23805369243979513,0.22698974082414516,-0.08406135591136951,0.3990434711522122,-0.11848556793043055,0.46554224009719547,0.021249250958013804,0.04114595120786523,-0.21580626682167345,-0.20671289709883126,1.0,-0.0014851018550649838,0.09590159493217697,-0.04419358859118879,-0.07026443082131713,-0.0009020097920997586,0.24358351264142533
B p total,-0.0029670582121602515,0.4337633462836114,-0.06641062686232377,0.0814746745766515,-0.021745136442276807,0.6011559878224086,0.29444284887304556,0.24797408210014618,0.07616941376882454,-0.11794424865030939,-0.1339975458684751,0.4337633462744371,-0.32618033676340086,0.002620573216433667,-0.2980704248280982,0.02819499219528774,-0.24384363650240365,0.005359491271570622,-0.06400247325455218,0.33222451331509867,0.35986660748783966,-0.0014851018550649838,1.0,0.9370682038713389,0.6926936494633112,-0.062019230871207524,-0.19140647687041443,0.08447679521824802
B d total,0.018416883590477755,0.2823623299366083,0.02061089776710614,0.04934990747180271,-0.026458484552011306,0.4668805303314369,0.25478197261568764,0.21949116012983186,0.055821491394896505,-0.09380005836796658,-0.06348899589872371,0.2823623299303067,-0.2151874304659631,-0.022556910963434436,-0.10805045972663872,0.00027462227929641605,-0.004043673025629214,0.018207090565852433,-0.041824643573895634,0.09868957432142958,0.30243479605298734,0.09590159493217697,0.9370682038713389,1.0,0.7450093903274394,-0.07050508766954233,-0.15957546698079053,0.2352887892789908
B f total,0.042385914334329054,0.05826864343525179,-0.12774872268512474,-0.029796288931814588,0.045808055986629806,0.18796166555467086,0.13716709241718894,0.1001176017550749,-0.009595329095028488,-0.09648655820329453,0.07924238815131657,0.0582686434294137,-0.0564450639401333,-0.03139578694575387,0.008811175967101856,-0.01720820999991586,0.03615528162645082,0.04886695677791555,-0.008643587666217842,-0.03619420742435858,0.07101164932937556,-0.04419358859118879,0.6926936494633112,0.7450093903274394,1.0,-0.051263680852402904,-0.0985004614120094,0.34019112555520276
A g,-0.21897658061658878,0.0026280385679116245,0.2536999218018295,0.09424815643266066,-0.005094967343662282,-0.06778999022316994,-0.11903254062933788,-0.08334158389765374,-0.01725536934418861,-0.007732171120561109,-0.07043718456197944,0.002628038577310457,-0.14074111823272842,0.34340535063949706,-0.031666728849868556,0.493382454557867,-0.011283647712354707,-0.5159622372140333,-0.3432505143373419,0.010204859027601371,-0.03455894365245909,-0.07026443082131713,-0.062019230871207524,-0.07050508766954233,-0.051263680852402904,1.0,0.11141554457280592,0.01373643017302635
A p,0.4553611408259578,-0.04712588084725349,-0.21159561153124734,0.060348392600375916,-0.0330740247059145,0.20262739218247725,-0.07512090348441781,-0.07075901928785322,-0.06249383174714952,0.16307652578071583,0.2544028365988332,-0.04712588084209398,0.3381228295210827,-0.30067449611181907,0.08045643584281452,-0.22140886295176973,0.09678213738900186,0.33335133806037837,0.3828289377268123,-0.05443344160101296,-0.10076111662045253,-0.0009020097920997586,-0.19140647687041443,-0.15957546698079053,-0.0985004614120094,0.11141554457280592,1.0,0.061668257809131356
B g,0.09268134586687421,-0.4455808827443893,-0.02978557077942551,0.07724024404553557,-0.0628879631132154,-0.3435429224433703,-0.24975511648810964,-0.2643035390343246,-0.2636766619901465,0.0478178825464451,0.2895688389171517,-0.44558088274759217,0.31143547396257776,-0.14363632491573147,0.4301501533388007,-0.16849529001130015,0.5766045106594411,-0.013872652304527736,0.026490149329656598,-0.6247142364512139,-0.347575467845254,0.24358351264142533,0.08447679521824802,0.2352887892789908,0.34019112555520276,0.01373643017302635,0.061668257809131356,1.0
