,0,Formation energy [eV/atom],Magnetic moment [mu_B],Radius A [ang],Radius B [ang],Stability [eV/atom],Vacancy energy [eV/O atom],Volume per atom [A^3/atom],a [ang],alpha [deg],b [ang],beta [deg],c [ang],gamma [deg],band gap (dft),band gap(ml),diff
52,,-2.861,0.4,0.79,0.87,0.298,-7.387,14.417,5.738,90,5.883,90,8.542,90,1.39,0.7228714239,0.6671285761
53,,-1.09,0.394,0.79,0.53,0.915,-1.853,9.588,3.633,90,3.633,90,3.633,90,0,-0.0131463088,0.0131463088
54,,-1.686,1,0.79,0.55,0.87,-0.869,10.403,3.733,90,3.733,90,3.733,90,0,0.2126391473,-0.2126391473
55,,-0.814,-0.43,0.72,0.68,1.034,-3.557,9.846,3.665,90,3.665,90,3.665,90,0,-0.0042524461,0.0042524461
56,,-1.75,0.4,0.72,0.99,1.521,-5.732,15.483,4.262,90,4.262,90,4.262,90,0,0.0003567707,-0.0003567707
57,,-1.826,0.4,0.72,0.89,1.455,-5.367,15.111,4.228,90,4.228,90,4.228,90,0,0.0236084711,-0.0236084711
58,,-2.807,0.2,0.72,1.06,0.293,-8.901,15.081,6.269,54.3,6.269,54.3,6.269,54.3,1.985,0.8491983903,1.1358016097
59,,-1.438,0.4,0.72,0.62,0.928,-2.324,10.615,3.758,90,3.758,90,3.758,90,0,0.0008809397,-0.0008809397
60,,-1.746,0.398,0.72,0.94,1.509,-5.305,15.956,4.305,90,4.305,90,4.305,90,0,-0.0095965684,0.0095965684
61,,-1.495,0.595,0.79,0.53,0.67,2.025,10.236,3.713,90,3.713,90,3.713,90,0,0.2643241729,-0.2643241729
62,,-2.528,0.6,0.79,0.71,0.68,3.531,13.25,4.046,90,4.046,90,4.046,90,0,0.012234094,-0.012234094
63,,-1.476,0.2,0.72,1.11,0.251,-6.526,13.287,5.259,90,5.678,90,8.899,90,0,0.4189111863,-0.4189111863
64,,-1.788,0.401,0.72,0.9,1.487,-5.556,15.251,4.241,90,4.241,90,4.241,90,0,0.0131873595,-0.0131873595
65,,-0.931,0.44,0.72,0.8,1.307,-4.818,13.575,4.079,90,4.079,90,4.079,90,0,0.0611533472,-0.0611533472
66,,-0.674,0.415,0.79,0.63,1.148,-1,11.877,3.901,90,3.901,90,3.901,90,0,-0.0068033328,0.0068033328
67,,-2.333,0,0.72,1.38,0.037,-9.684,16.119,5.479,90,5.683,90,10.354,90,2.424,1.2976504125,1.1263495875
68,,-2.973,0.4,0.72,1.03,0.275,-6.936,14.351,5.725,90,5.85,90,8.571,90,1.388,0.9099149083,0.4780850917
69,,-2.164,0,0.72,0.76,0.208,-5.697,8.948,4.691,90,5.019,90,7.601,90,1.794,0.4476496077,1.3463503923
70,,-1.942,0.4,0.72,0.86,1.354,-4.776,14.426,4.163,90,4.163,90,4.163,90,0,-0.0246957953,0.0246957953
71,,-1.41,0.201,0.72,0.72,1.328,-5.07,10.563,3.752,90,3.752,90,3.752,90,0,-0.020721827,0.020721827
72,,-1.521,1.2,0.79,0.53,0.861,-1.571,10.509,3.746,90,3.746,90,3.746,90,0,-0.0075646973,0.0075646973
73,,-1.616,0.662,0.79,0.65,0.668,3.127,11.929,3.907,90,3.907,90,3.907,90,0,0.0179900859,-0.0179900859
